id;estado;fecha_inicio;pro_id;uid;fecha_termino;proveedor;costo
252;activa;25-09-2021;3;16;25-12-2023;Crunchyroll;4400
253;activa;29-06-2021;1;16;29-12-2023;Netflix;4500
249;activa;01-12-2020;12;16;01-12-2023;Viu;5000
250;activa;05-11-2020;16;16;05-12-2023;Rakuten TV;6500
247;activa;15-07-2020;6;16;15-12-2023;Disney+;6500
255;activa;23-07-2020;10;16;23-12-2023;Stan;7900
342;cancelada;25-06-2020;5;17;14-11-2023;Funimation;3900
343;activa;13-05-2020;6;17;13-12-2023;Disney+;6500
185;cancelada;09-01-2021;15;18;14-11-2023;Discovery+;3700
187;activa;24-09-2020;3;18;24-12-2023;Crunchyroll;4400
186;activa;07-11-2020;17;18;07-12-2023;Sky;6400
188;activa;11-10-2020;7;18;11-12-2023;Star+;7100
219;activa;27-05-2020;16;19;27-12-2023;Rakuten TV;6500
221;cancelada;09-06-2020;7;19;16-10-2020;Star+;7100
220;activa;10-02-2021;14;19;10-12-2023;Movistar+ Lite;7400
218;activa;07-12-2021;10;19;07-12-2023;Stan;7900
161;activa;09-08-2021;5;20;09-12-2023;Funimation;3900
162;cancelada;05-05-2020;20;20;14-07-2020;DCCanal;4000
183;cancelada;20-07-2020;13;21;20-01-2023;Sony Liv;3100
180;activa;28-05-2020;2;21;28-12-2023;Amazon Prime Video;3700
181;activa;10-09-2021;20;21;10-12-2023;DCCanal;4000
182;activa;25-01-2021;11;21;25-12-2023;Peackok;4000
184;cancelada;25-05-2021;7;21;07-07-2023;Star+;7100
208;activa;21-09-2020;18;22;21-12-2023;ATRESplayer;2800
211;activa;29-09-2021;13;22;29-12-2023;Sony Liv;3100
207;activa;27-11-2021;9;22;27-12-2023;Showtime;3200
206;activa;13-06-2020;4;22;13-12-2023;HBO+;3500
205;activa;29-05-2021;20;22;29-12-2023;DCCanal;4000
209;cancelada;23-04-2021;3;22;13-11-2023;Crunchyroll;4400
212;activa;14-11-2021;1;22;14-12-2023;Netflix;4500
210;activa;10-11-2021;6;22;10-12-2023;Disney+;6500
270;cancelada;29-08-2021;9;23;23-09-2023;Showtime;3200
267;activa;09-01-2021;19;23;09-12-2023;Mitele Plus;3700
275;activa;14-08-2020;15;23;14-12-2023;Discovery+;3700
269;cancelada;28-08-2020;11;23;15-05-2023;Peackok;4000
268;activa;31-07-2020;20;23;31-12-2023;DCCanal;4000
273;activa;09-11-2021;3;23;09-12-2023;Crunchyroll;4400
274;activa;09-02-2021;17;23;09-12-2023;Sky;6400
276;activa;29-04-2021;6;23;29-12-2023;Disney+;6500
271;activa;29-03-2021;16;23;29-12-2023;Rakuten TV;6500
272;activa;03-10-2021;10;23;03-12-2023;Stan;7900
303;activa;07-10-2020;18;24;07-12-2023;ATRESplayer;2800
304;cancelada;03-10-2020;2;24;12-08-2023;Amazon Prime Video;3700
305;activa;26-08-2020;20;24;26-12-2023;DCCanal;4000
302;activa;25-11-2020;16;24;25-12-2023;Rakuten TV;6500
372;activa;21-10-2020;5;25;21-12-2023;Funimation;3900
376;activa;25-06-2021;20;25;25-12-2023;DCCanal;4000
373;activa;25-08-2020;11;25;25-12-2023;Peackok;4000
375;activa;10-11-2020;1;25;10-12-2023;Netflix;4500
374;activa;13-09-2021;6;25;13-12-2023;Disney+;6500
292;activa;13-07-2020;4;26;13-12-2023;HBO+;3500
290;cancelada;17-10-2021;5;26;13-11-2023;Funimation;3900
291;cancelada;01-07-2021;11;26;11-08-2023;Peackok;4000
288;cancelada;24-12-2020;16;26;30-11-2023;Rakuten TV;6500
289;cancelada;24-01-2021;8;26;17-03-2023;Hulu;7000
52;activa;05-05-2021;4;27;05-12-2023;HBO+;3500
232;activa;05-05-2020;13;28;05-12-2023;Sony Liv;3100
230;activa;17-10-2020;4;28;17-12-2023;HBO+;3500
231;activa;30-06-2021;15;28;30-12-2023;Discovery+;3700
234;activa;13-02-2021;19;28;13-12-2023;Mitele Plus;3700
233;cancelada;04-06-2021;20;28;20-07-2023;DCCanal;4000
1;cancelada;08-06-2021;8;29;02-09-2023;Hulu;7000
30;cancelada;06-06-2021;15;30;26-06-2023;Discovery+;3700
29;activa;17-04-2021;6;30;17-12-2023;Disney+;6500
312;activa;23-11-2021;18;31;23-12-2023;ATRESplayer;2800
315;cancelada;09-03-2021;13;31;18-10-2023;Sony Liv;3100
314;cancelada;05-10-2020;9;31;07-12-2020;Showtime;3200
311;cancelada;25-10-2020;17;31;08-07-2023;Sky;6400
313;activa;17-09-2020;16;31;17-12-2023;Rakuten TV;6500
32;activa;25-04-2021;2;32;25-12-2023;Amazon Prime Video;3700
33;cancelada;21-12-2020;12;32;01-10-2023;Viu;5000
31;activa;30-09-2021;16;32;30-12-2023;Rakuten TV;6500
99;activa;28-05-2021;13;33;28-12-2023;Sony Liv;3100
103;activa;17-10-2021;9;33;17-12-2023;Showtime;3200
105;cancelada;17-01-2021;19;33;02-11-2023;Mitele Plus;3700
101;activa;01-05-2020;15;33;01-12-2023;Discovery+;3700
100;activa;28-02-2021;17;33;28-12-2023;Sky;6400
104;activa;22-09-2021;14;33;22-12-2023;Movistar+ Lite;7400
102;activa;28-09-2021;10;33;28-12-2023;Stan;7900
179;cancelada;04-12-2020;2;34;14-06-2023;Amazon Prime Video;3700
177;cancelada;09-07-2021;5;34;25-08-2023;Funimation;3900
178;cancelada;28-03-2021;10;34;31-10-2023;Stan;7900
11;activa;02-10-2020;1;35;02-12-2023;Netflix;4500
12;activa;20-06-2021;16;35;20-12-2023;Rakuten TV;6500
10;activa;04-01-2021;7;35;04-12-2023;Star+;7100
142;cancelada;30-05-2020;4;36;02-01-2023;HBO+;3500
145;activa;23-01-2021;20;36;23-12-2023;DCCanal;4000
144;activa;04-06-2020;1;36;04-12-2023;Netflix;4500
140;activa;18-08-2021;12;36;18-12-2023;Viu;5000
141;activa;24-07-2020;16;36;24-12-2023;Rakuten TV;6500
143;activa;03-07-2021;6;36;03-12-2023;Disney+;6500
110;activa;21-07-2020;18;37;21-12-2023;ATRESplayer;2800
107;activa;15-06-2021;4;37;15-12-2023;HBO+;3500
109;cancelada;22-02-2021;19;37;30-11-2023;Mitele Plus;3700
106;activa;08-08-2020;17;37;08-12-2023;Sky;6400
108;cancelada;10-11-2021;8;37;27-11-2023;Hulu;7000
401;cancelada;14-09-2020;18;38;06-08-2023;ATRESplayer;2800
402;cancelada;18-12-2020;13;38;11-09-2023;Sony Liv;3100
125;activa;03-11-2020;13;39;03-12-2023;Sony Liv;3100
127;activa;09-07-2021;2;39;09-12-2023;Amazon Prime Video;3700
126;activa;08-04-2021;14;39;08-12-2023;Movistar+ Lite;7400
22;activa;07-06-2021;13;40;07-12-2023;Sony Liv;3100
23;activa;29-09-2020;16;40;29-12-2023;Rakuten TV;6500
21;activa;25-05-2021;7;40;25-12-2023;Star+;7100
46;activa;29-06-2020;18;41;29-12-2023;ATRESplayer;2800
48;cancelada;28-08-2020;5;41;26-01-2023;Funimation;3900
50;activa;09-04-2021;11;41;09-12-2023;Peackok;4000
47;activa;03-03-2021;20;41;03-12-2023;DCCanal;4000
49;activa;11-08-2021;1;41;11-12-2023;Netflix;4500
51;activa;11-08-2020;6;41;11-12-2023;Disney+;6500
62;cancelada;17-08-2020;13;42;17-05-2023;Sony Liv;3100
195;cancelada;20-05-2020;11;43;08-06-2023;Peackok;4000
197;activa;27-09-2021;3;43;27-12-2023;Crunchyroll;4400
199;activa;18-11-2020;8;43;18-12-2023;Hulu;7000
196;activa;25-06-2021;7;43;25-12-2023;Star+;7100
198;cancelada;12-09-2021;14;43;16-11-2023;Movistar+ Lite;7400
73;activa;08-04-2021;13;44;08-12-2023;Sony Liv;3100
77;cancelada;05-06-2020;2;44;20-11-2020;Amazon Prime Video;3700
76;activa;23-03-2021;5;44;23-12-2023;Funimation;3900
75;cancelada;16-07-2021;1;44;14-12-2023;Netflix;4500
70;activa;26-09-2021;17;44;26-12-2023;Sky;6400
71;activa;22-05-2021;8;44;22-12-2023;Hulu;7000
74;activa;18-09-2021;14;44;18-12-2023;Movistar+ Lite;7400
72;activa;04-12-2021;10;44;04-12-2023;Stan;7900
15;cancelada;05-05-2020;19;45;25-01-2023;Mitele Plus;3700
13;cancelada;18-08-2020;17;45;14-07-2023;Sky;6400
14;activa;21-05-2021;16;45;21-12-2023;Rakuten TV;6500
282;cancelada;27-05-2020;15;46;01-01-2023;Discovery+;3700
277;activa;04-08-2020;3;46;04-12-2023;Crunchyroll;4400
281;cancelada;15-08-2021;17;46;01-11-2023;Sky;6400
280;activa;15-11-2021;16;46;15-12-2023;Rakuten TV;6500
279;cancelada;17-04-2021;7;46;28-07-2023;Star+;7100
278;cancelada;10-11-2020;10;46;16-03-2023;Stan;7900
34;cancelada;08-08-2020;5;47;01-10-2023;Funimation;3900
35;cancelada;15-09-2020;7;47;07-06-2023;Star+;7100
5;activa;01-11-2020;13;48;01-12-2023;Sony Liv;3100
4;activa;19-04-2021;9;48;19-12-2023;Showtime;3200
3;activa;21-09-2020;20;48;21-12-2023;DCCanal;4000
2;activa;27-09-2020;16;48;27-12-2023;Rakuten TV;6500
297;activa;16-08-2021;18;49;16-12-2023;ATRESplayer;2800
296;activa;09-03-2021;4;49;09-12-2023;HBO+;3500
293;activa;06-06-2020;2;49;06-12-2023;Amazon Prime Video;3700
294;activa;07-09-2021;19;49;07-12-2023;Mitele Plus;3700
295;activa;30-06-2021;3;49;30-12-2023;Crunchyroll;4400
298;activa;29-04-2021;6;49;29-12-2023;Disney+;6500
245;activa;31-05-2021;9;50;31-12-2023;Showtime;3200
244;activa;02-08-2020;2;50;02-12-2023;Amazon Prime Video;3700
246;activa;03-11-2020;1;50;03-12-2023;Netflix;4500
243;activa;17-04-2021;7;50;17-12-2023;Star+;7100
113;cancelada;07-08-2020;19;51;03-05-2023;Mitele Plus;3700
111;cancelada;13-03-2021;6;51;23-08-2023;Disney+;6500
112;cancelada;07-11-2020;10;51;07-11-2020;Stan;7900
348;cancelada;01-10-2021;13;52;04-12-2023;Sony Liv;3100
350;activa;31-05-2021;9;52;31-12-2023;Showtime;3200
347;activa;11-07-2021;5;52;11-12-2023;Funimation;3900
349;activa;30-09-2020;6;52;30-12-2023;Disney+;6500
213;cancelada;22-11-2021;11;53;26-11-2023;Peackok;4000
236;activa;14-11-2021;13;54;14-12-2023;Sony Liv;3100
240;activa;24-11-2021;9;54;24-12-2023;Showtime;3200
239;activa;16-01-2021;2;54;16-12-2023;Amazon Prime Video;3700
238;activa;01-03-2021;11;54;01-12-2023;Peackok;4000
235;activa;21-07-2021;12;54;21-12-2023;Viu;5000
237;cancelada;28-09-2020;16;54;04-07-2023;Rakuten TV;6500
241;cancelada;30-05-2021;14;54;12-09-2023;Movistar+ Lite;7400
242;activa;29-10-2021;10;54;29-12-2023;Stan;7900
139;cancelada;13-06-2020;15;55;24-09-2023;Discovery+;3700
136;activa;10-02-2021;11;55;10-12-2023;Peackok;4000
138;activa;16-12-2020;3;55;16-12-2023;Crunchyroll;4400
137;activa;20-08-2021;1;55;20-12-2023;Netflix;4500
258;activa;07-07-2020;11;56;07-12-2023;Peackok;4000
257;activa;06-10-2021;8;56;06-12-2023;Hulu;7000
259;activa;03-05-2020;14;56;03-12-2023;Movistar+ Lite;7400
256;cancelada;24-03-2021;10;56;09-10-2023;Stan;7900
156;activa;14-06-2020;13;57;14-12-2023;Sony Liv;3100
155;cancelada;14-05-2020;15;57;25-08-2020;Discovery+;3700
154;activa;25-08-2020;11;57;25-12-2023;Peackok;4000
157;activa;09-01-2021;1;57;09-12-2023;Netflix;4500
153;activa;17-01-2021;7;57;17-12-2023;Star+;7100
159;activa;02-07-2021;4;58;02-12-2023;HBO+;3500
158;activa;17-05-2021;15;58;17-12-2023;Discovery+;3700
160;activa;05-05-2020;2;58;05-12-2023;Amazon Prime Video;3700
19;activa;26-10-2021;18;59;26-12-2023;ATRESplayer;2800
20;cancelada;26-08-2020;13;59;13-06-2023;Sony Liv;3100
18;cancelada;02-07-2021;19;59;12-10-2023;Mitele Plus;3700
60;cancelada;29-10-2020;4;60;11-09-2023;HBO+;3500
61;cancelada;12-07-2021;6;60;28-09-2023;Disney+;6500
59;cancelada;22-07-2020;10;60;16-01-2023;Stan;7900
331;activa;04-11-2020;15;61;04-12-2023;Discovery+;3700
332;activa;23-07-2020;19;61;23-12-2023;Mitele Plus;3700
329;activa;19-08-2020;5;61;19-12-2023;Funimation;3900
328;activa;16-11-2020;11;61;16-12-2023;Peackok;4000
330;activa;27-11-2020;16;61;27-12-2023;Rakuten TV;6500
39;cancelada;05-01-2021;4;62;15-09-2023;HBO+;3500
38;activa;22-03-2021;5;62;22-12-2023;Funimation;3900
37;cancelada;09-11-2020;3;62;11-09-2023;Crunchyroll;4400
36;activa;11-09-2020;17;62;11-12-2023;Sky;6400
40;cancelada;17-06-2021;10;62;21-11-2023;Stan;7900
325;activa;18-11-2020;13;63;18-12-2023;Sony Liv;3100
322;activa;13-05-2020;5;63;13-12-2023;Funimation;3900
326;activa;29-08-2021;11;63;29-12-2023;Peackok;4000
323;activa;30-10-2020;1;63;30-12-2023;Netflix;4500
327;cancelada;09-07-2021;12;63;22-08-2023;Viu;5000
321;activa;13-10-2020;7;63;13-12-2023;Star+;7100
324;activa;25-08-2020;10;63;25-12-2023;Stan;7900
362;activa;11-04-2021;13;64;11-12-2023;Sony Liv;3100
363;activa;01-03-2021;3;64;01-12-2023;Crunchyroll;4400
365;cancelada;21-08-2021;6;64;13-10-2023;Disney+;6500
364;activa;23-02-2021;7;64;23-12-2023;Star+;7100
301;activa;16-03-2021;9;65;16-12-2023;Showtime;3200
300;activa;03-12-2020;11;65;03-12-2023;Peackok;4000
299;activa;14-07-2021;10;65;14-12-2023;Stan;7900
69;activa;18-05-2020;13;66;18-12-2023;Sony Liv;3100
68;activa;12-05-2021;6;66;12-12-2023;Disney+;6500
67;activa;18-07-2021;14;66;18-12-2023;Movistar+ Lite;7400
81;activa;26-08-2021;18;67;26-12-2023;ATRESplayer;2800
79;activa;21-11-2020;2;67;21-12-2023;Amazon Prime Video;3700
78;activa;09-03-2021;5;67;09-12-2023;Funimation;3900
80;cancelada;27-08-2021;8;67;09-12-2023;Hulu;7000
128;activa;27-02-2021;18;68;27-12-2023;ATRESplayer;2800
130;activa;01-04-2021;12;68;01-12-2023;Viu;5000
129;activa;24-08-2021;6;68;24-12-2023;Disney+;6500
86;activa;21-05-2021;14;69;21-12-2023;Movistar+ Lite;7400
87;cancelada;14-10-2021;18;70;30-10-2023;ATRESplayer;2800
88;activa;04-11-2020;4;70;04-12-2023;HBO+;3500
90;activa;15-02-2021;1;70;15-12-2023;Netflix;4500
89;activa;15-05-2020;8;70;15-12-2023;Hulu;7000
150;activa;24-01-2021;20;71;24-12-2023;DCCanal;4000
151;cancelada;29-01-2021;7;71;07-12-2023;Star+;7100
152;cancelada;14-04-2021;10;71;03-10-2023;Stan;7900
214;activa;07-07-2020;9;72;07-12-2023;Showtime;3200
217;activa;01-08-2020;11;72;01-12-2023;Peackok;4000
215;activa;12-04-2021;8;72;12-12-2023;Hulu;7000
216;activa;09-06-2020;10;72;09-12-2023;Stan;7900
371;activa;12-04-2021;4;73;12-12-2023;HBO+;3500
370;activa;19-09-2021;19;73;19-12-2023;Mitele Plus;3700
369;activa;14-09-2020;5;73;14-12-2023;Funimation;3900
368;activa;07-02-2021;3;73;07-12-2023;Crunchyroll;4400
366;cancelada;21-08-2021;17;73;26-10-2023;Sky;6400
367;activa;13-11-2020;6;73;13-12-2023;Disney+;6500
134;activa;01-05-2021;4;74;01-12-2023;HBO+;3500
133;activa;05-03-2021;15;74;05-12-2023;Discovery+;3700
132;activa;26-09-2021;17;74;26-12-2023;Sky;6400
135;activa;22-10-2020;6;74;22-12-2023;Disney+;6500
131;cancelada;19-05-2021;10;74;18-11-2023;Stan;7900
148;cancelada;20-07-2020;9;75;29-12-2020;Showtime;3200
146;activa;04-10-2020;5;75;04-12-2023;Funimation;3900
147;cancelada;21-07-2021;12;75;27-10-2023;Viu;5000
149;cancelada;10-12-2021;14;75;17-12-2023;Movistar+ Lite;7400
117;activa;27-02-2021;18;76;27-12-2023;ATRESplayer;2800
115;activa;21-06-2020;13;76;21-12-2023;Sony Liv;3100
118;cancelada;08-07-2020;15;76;06-12-2020;Discovery+;3700
116;activa;17-10-2020;11;76;17-12-2023;Peackok;4000
114;cancelada;21-07-2021;14;76;27-09-2023;Movistar+ Lite;7400
286;activa;23-10-2020;18;77;23-12-2023;ATRESplayer;2800
287;cancelada;13-02-2021;9;77;12-12-2023;Showtime;3200
284;activa;22-09-2020;4;77;22-12-2023;HBO+;3500
285;activa;04-07-2020;6;77;04-12-2023;Disney+;6500
283;cancelada;12-10-2021;10;77;14-11-2023;Stan;7900
98;activa;23-05-2021;10;80;23-12-2023;Stan;7900
17;activa;15-09-2020;18;82;15-12-2023;ATRESplayer;2800
16;cancelada;30-08-2021;9;82;04-09-2023;Showtime;3200
264;activa;04-06-2021;4;87;04-12-2023;HBO+;3500
263;activa;24-08-2020;8;87;24-12-2023;Hulu;7000
419;activa;12-10-2020;18;90;12-12-2023;ATRESplayer;2800
417;activa;13-08-2020;3;90;13-12-2023;Crunchyroll;4400
418;cancelada;02-09-2021;8;90;06-10-2023;Hulu;7000
91;cancelada;06-04-2021;4;92;25-05-2023;HBO+;3500
97;activa;09-09-2020;19;92;09-12-2023;Mitele Plus;3700
93;cancelada;25-06-2020;5;92;10-08-2020;Funimation;3900
96;cancelada;05-03-2021;1;92;12-05-2023;Netflix;4500
94;cancelada;12-10-2020;6;92;03-02-2023;Disney+;6500
92;cancelada;08-12-2021;7;92;14-12-2023;Star+;7100
95;activa;30-05-2021;14;92;30-12-2023;Movistar+ Lite;7400
406;activa;30-08-2021;19;93;30-12-2023;Mitele Plus;3700
403;activa;25-11-2020;11;93;25-12-2023;Peackok;4000
405;activa;06-03-2021;7;93;06-12-2023;Star+;7100
404;activa;06-11-2021;10;93;06-12-2023;Stan;7900
266;activa;21-08-2021;5;95;21-12-2023;Funimation;3900
265;cancelada;24-01-2021;8;95;08-11-2023;Hulu;7000
228;activa;15-04-2021;9;97;15-12-2023;Showtime;3200
227;activa;25-03-2021;4;97;25-12-2023;HBO+;3500
229;activa;29-07-2020;20;97;29-12-2023;DCCanal;4000
361;activa;08-04-2021;20;102;08-12-2023;DCCanal;4000
45;activa;11-09-2021;2;105;11-12-2023;Amazon Prime Video;3700
41;activa;13-11-2020;15;105;13-12-2023;Discovery+;3700
43;activa;14-02-2021;5;105;14-12-2023;Funimation;3900
42;activa;22-05-2020;6;105;22-12-2023;Disney+;6500
44;activa;05-01-2021;10;105;05-12-2023;Stan;7900
396;activa;09-11-2021;18;106;09-12-2023;ATRESplayer;2800
395;cancelada;08-06-2021;9;106;26-06-2023;Showtime;3200
393;activa;14-12-2021;1;106;14-12-2023;Netflix;4500
389;cancelada;08-06-2020;12;106;26-05-2023;Viu;5000
394;cancelada;21-10-2020;16;106;08-01-2023;Rakuten TV;6500
391;cancelada;27-05-2021;6;106;24-07-2023;Disney+;6500
390;activa;03-12-2021;8;106;03-12-2023;Hulu;7000
392;activa;12-12-2021;7;106;12-12-2023;Star+;7100
56;cancelada;18-09-2021;9;108;10-12-2023;Showtime;3200
54;activa;25-06-2021;2;108;25-12-2023;Amazon Prime Video;3700
58;cancelada;14-08-2021;20;108;04-10-2023;DCCanal;4000
53;activa;24-08-2020;1;108;24-12-2023;Netflix;4500
57;activa;28-03-2021;6;108;28-12-2023;Disney+;6500
55;activa;30-01-2021;10;108;30-12-2023;Stan;7900
412;cancelada;15-06-2020;19;115;28-09-2020;Mitele Plus;3700
413;activa;09-07-2020;2;115;09-12-2023;Amazon Prime Video;3700
411;activa;24-12-2020;5;115;24-12-2023;Funimation;3900
407;activa;11-11-2020;11;115;11-12-2023;Peackok;4000
414;activa;26-02-2021;20;115;26-12-2023;DCCanal;4000
410;activa;14-08-2020;12;115;14-12-2023;Viu;5000
408;cancelada;24-12-2020;8;115;09-11-2023;Hulu;7000
409;activa;05-01-2021;14;115;05-12-2023;Movistar+ Lite;7400
360;activa;01-11-2020;9;119;01-12-2023;Showtime;3200
359;activa;03-12-2021;4;119;03-12-2023;HBO+;3500
356;cancelada;05-07-2021;15;119;19-07-2023;Discovery+;3700
357;activa;18-08-2020;19;119;18-12-2023;Mitele Plus;3700
353;activa;31-03-2021;5;119;31-12-2023;Funimation;3900
354;cancelada;22-11-2021;1;119;18-12-2023;Netflix;4500
358;cancelada;30-07-2021;6;119;19-12-2023;Disney+;6500
352;activa;20-06-2020;7;119;20-12-2023;Star+;7100
355;activa;15-02-2021;14;119;15-12-2023;Movistar+ Lite;7400
226;activa;15-02-2021;11;122;15-12-2023;Peackok;4000
225;activa;28-12-2020;6;122;28-12-2023;Disney+;6500
351;activa;13-06-2020;11;123;13-12-2023;Peackok;4000
344;cancelada;12-06-2021;4;130;23-09-2023;HBO+;3500
346;activa;31-10-2020;5;130;31-12-2023;Funimation;3900
345;activa;29-08-2021;14;130;29-12-2023;Movistar+ Lite;7400
172;activa;22-04-2021;15;132;22-12-2023;Discovery+;3700
171;activa;19-11-2021;3;132;19-12-2023;Crunchyroll;4400
84;activa;30-07-2021;11;133;30-12-2023;Peackok;4000
83;cancelada;20-09-2021;16;133;12-10-2023;Rakuten TV;6500
82;cancelada;27-07-2020;8;133;06-07-2023;Hulu;7000
85;activa;13-08-2020;7;133;13-12-2023;Star+;7100
316;cancelada;30-06-2021;5;134;05-10-2023;Funimation;3900
320;activa;21-09-2020;12;134;21-12-2023;Viu;5000
317;cancelada;06-10-2021;6;134;21-10-2023;Disney+;6500
319;activa;29-07-2021;16;134;29-12-2023;Rakuten TV;6500
318;cancelada;29-07-2020;7;134;17-10-2020;Star+;7100
8;cancelada;06-05-2020;9;141;06-12-2023;Showtime;3200
6;activa;13-10-2020;15;141;13-12-2023;Discovery+;3700
7;cancelada;10-06-2020;5;141;26-07-2023;Funimation;3900
9;cancelada;30-01-2021;14;141;18-04-2023;Movistar+ Lite;7400
386;activa;28-06-2021;5;142;28-12-2023;Funimation;3900
383;cancelada;09-08-2020;12;142;29-08-2020;Viu;5000
385;activa;13-12-2021;16;142;13-12-2023;Rakuten TV;6500
388;activa;18-08-2021;7;142;18-12-2023;Star+;7100
384;activa;09-09-2020;14;142;09-12-2023;Movistar+ Lite;7400
387;activa;08-09-2021;10;142;08-12-2023;Stan;7900
24;cancelada;06-05-2021;9;146;10-11-2023;Showtime;3200
26;activa;22-05-2020;16;146;22-12-2023;Rakuten TV;6500
25;activa;28-12-2020;8;146;28-12-2023;Hulu;7000
