uid;pid;cid;fecha
72;36;;11-21-2020
90;38;;11-21-2020
142;99;;11-22-2020
31;;129;11-22-2020
21;;141;11-22-2020
22;;156;11-23-2020
105;;134;11-24-2020
63;21;;11-24-2020
141;;91;11-25-2020
49;;147;11-25-2020
18;;152;11-28-2020
92;;68;11-28-2020
42;66;;11-28-2020
36;45;;11-28-2020
141;65;;11-28-2020
13;48;;11-29-2020
43;;139;11-29-2020
18;;78;11-29-2020
141;;41;11-29-2020
26;;32;11-29-2020
16;;143;11-29-2020
48;;54;11-30-2020
12;;128;11-30-2020
48;;91;12-01-2020
25;100;;12-02-2020
115;;83;12-03-2020
14;;127;12-03-2020
16;;3;12-03-2020
141;;90;12-03-2020
60;;149;12-03-2020
87;;152;12-04-2020
133;40;;12-04-2020
11;;150;12-04-2020
63;;110;12-04-2020
46;;118;12-05-2020
4;21;;12-05-2020
22;;16;12-05-2020
14;51;;12-06-2020
24;;152;12-06-2020
24;;90;12-06-2020
141;51;;12-06-2020
18;;128;12-07-2020
56;;115;12-07-2020
46;;133;12-07-2020
62;;62;12-07-2020
92;;114;12-07-2020
11;95;;12-08-2020
51;72;;12-08-2020
51;68;;12-09-2020
45;;133;12-09-2020
14;;126;12-09-2020
22;;5;12-10-2020
24;77;;12-11-2020
61;;127;12-12-2020
87;;100;12-12-2020
90;;149;12-12-2020
93;36;;12-12-2020
90;;95;12-12-2020
141;;129;12-13-2020
41;48;;12-13-2020
61;;122;12-13-2020
46;82;;12-14-2020
60;82;;12-14-2020
90;;148;12-15-2020
119;;155;12-15-2020
31;19;;12-15-2020
142;;55;12-15-2020
4;82;;12-15-2020
106;19;;12-16-2020
55;;148;12-18-2020
24;48;;12-18-2020
55;;12;12-18-2020
67;;120;12-19-2020
72;;152;12-19-2020
28;31;;12-21-2020
61;;110;12-21-2020
41;;112;12-21-2020
40;;118;12-21-2020
106;;149;12-21-2020
24;;156;12-22-2020
105;95;;12-22-2020
141;;117;12-23-2020
72;5;;12-23-2020
82;;156;12-23-2020
38;97;;12-23-2020
37;;122;12-23-2020
5;13;;12-24-2020
4;;156;12-24-2020
75;;133;12-24-2020
106;;120;12-24-2020
74;;133;12-24-2020
34;80;;12-25-2020
130;85;;12-25-2020
46;;119;12-25-2020
106;45;;12-25-2020
75;;132;12-25-2020
77;;105;12-25-2020
92;;116;12-26-2020
15;;97;12-26-2020
142;;140;12-26-2020
73;;89;12-27-2020
24;5;;12-27-2020
50;;103;12-27-2020
36;5;;12-27-2020
38;31;;12-28-2020
52;75;;12-28-2020
119;;105;12-30-2020
82;38;;12-31-2020
26;;90;12-31-2020
73;;73;12-31-2020
119;;81;12-31-2020
41;65;;12-31-2020
142;;58;01-01-2021
77;33;;01-01-2021
106;;147;01-01-2021
17;50;;01-02-2021
48;5;;01-02-2021
51;72;;01-03-2021
56;;157;01-03-2021
90;;21;01-03-2021
73;83;;01-03-2021
24;33;;01-04-2021
130;54;;01-04-2021
59;;91;01-04-2021
26;;146;01-04-2021
37;;98;01-04-2021
11;;81;01-05-2021
24;;131;01-05-2021
82;33;;01-06-2021
10;;133;01-07-2021
25;;155;01-07-2021
34;;135;01-08-2021
47;48;;01-08-2021
4;75;;01-08-2021
65;84;;01-08-2021
90;48;;01-09-2021
41;8;;01-09-2021
14;;131;01-10-2021
43;;137;01-10-2021
65;13;;01-11-2021
15;;98;01-11-2021
31;75;;01-11-2021
56;;156;01-12-2021
47;82;;01-14-2021
4;;87;01-15-2021
92;;66;01-15-2021
22;;82;01-16-2021
21;;151;01-17-2021
13;;47;01-17-2021
24;;151;01-17-2021
16;;87;01-17-2021
14;;130;01-18-2021
47;;77;01-18-2021
26;45;;01-18-2021
93;;81;01-18-2021
54;;149;01-19-2021
62;;56;01-20-2021
18;;107;01-21-2021
12;88;;01-21-2021
141;;89;01-21-2021
22;;96;01-22-2021
17;;106;01-22-2021
115;;112;01-22-2021
50;;2;01-22-2021
23;;127;01-23-2021
60;50;;01-23-2021
52;;100;01-23-2021
92;;4;01-23-2021
61;;83;01-23-2021
59;73;;01-24-2021
52;;101;01-24-2021
46;5;;01-24-2021
57;36;;01-24-2021
141;;112;01-25-2021
33;;99;01-25-2021
62;;58;01-25-2021
59;31;;01-25-2021
10;;129;01-25-2021
46;72;;01-26-2021
141;;130;01-27-2021
52;;122;01-27-2021
92;;100;01-27-2021
23;;109;01-27-2021
115;40;;01-28-2021
32;;123;01-28-2021
115;80;;01-28-2021
123;84;;01-28-2021
142;;138;01-28-2021
47;;86;01-29-2021
49;;72;01-29-2021
67;;122;01-30-2021
73;;71;01-30-2021
6;9;;01-30-2021
130;51;;01-30-2021
12;51;;01-30-2021
142;;90;01-30-2021
15;;66;01-30-2021
59;20;;01-30-2021
26;;113;01-30-2021
43;;140;01-30-2021
57;;116;01-30-2021
49;;74;01-31-2021
26;;154;01-31-2021
141;85;;01-31-2021
92;39;;02-01-2021
87;;96;02-01-2021
106;72;;02-02-2021
42;13;;02-02-2021
62;;59;02-02-2021
11;45;;02-03-2021
115;;123;02-03-2021
26;;120;02-03-2021
141;7;;02-04-2021
119;;107;02-04-2021
25;;157;02-04-2021
4;100;;02-06-2021
34;;137;02-06-2021
4;;157;02-06-2021
46;;125;02-06-2021
55;29;;02-06-2021
92;37;;02-06-2021
141;;84;02-07-2021
11;5;;02-07-2021
26;;105;02-07-2021
73;;88;02-08-2021
146;;91;02-08-2021
141;;124;02-09-2021
141;54;;02-09-2021
21;;67;02-09-2021
141;;123;02-10-2021
40;65;;02-10-2021
141;;117;02-10-2021
46;96;;02-11-2021
26;;122;02-11-2021
13;;34;02-11-2021
105;82;;02-11-2021
6;74;;02-11-2021
72;96;;02-12-2021
142;;103;02-12-2021
75;48;;02-13-2021
63;;115;02-13-2021
115;;145;02-14-2021
146;;63;02-14-2021
47;88;;02-15-2021
2;66;;02-15-2021
5;31;;02-15-2021
37;;137;02-15-2021
18;;152;02-16-2021
141;;149;02-16-2021
26;;153;02-16-2021
47;64;;02-17-2021
6;;147;02-17-2021
65;;78;02-18-2021
11;65;;02-18-2021
146;;83;02-18-2021
115;;112;02-18-2021
51;;144;02-19-2021
35;;7;02-19-2021
26;;106;02-19-2021
90;;109;02-20-2021
77;;21;02-20-2021
36;;104;02-20-2021
48;80;;02-20-2021
4;;142;02-21-2021
115;;44;02-21-2021
115;;111;02-22-2021
21;;152;02-22-2021
15;;95;02-22-2021
141;;118;02-22-2021
38;;142;02-23-2021
11;;144;02-24-2021
26;;111;02-24-2021
77;38;;02-24-2021
70;;135;02-25-2021
141;60;;02-25-2021
16;;61;02-25-2021
55;;134;02-25-2021
141;;44;02-25-2021
28;101;;02-25-2021
31;19;;02-26-2021
26;;155;02-26-2021
65;9;;02-26-2021
16;;45;02-27-2021
82;34;;02-27-2021
16;;122;02-27-2021
62;;117;02-27-2021
25;51;;02-27-2021
70;40;;02-27-2021
46;;123;02-28-2021
77;;19;02-28-2021
23;1;;02-28-2021
33;;107;03-01-2021
48;13;;03-01-2021
26;;112;03-01-2021
31;;69;03-02-2021
133;;131;03-02-2021
141;;147;03-02-2021
52;;121;03-02-2021
115;;99;03-02-2021
35;;84;03-02-2021
23;;110;03-03-2021
63;97;;03-03-2021
17;50;;03-03-2021
122;74;;03-03-2021
46;;104;03-03-2021
17;88;;03-03-2021
58;80;;03-03-2021
4;26;;03-04-2021
141;99;;03-04-2021
11;;76;03-04-2021
11;21;;03-05-2021
76;74;;03-05-2021
133;42;;03-06-2021
72;66;;03-06-2021
61;;109;03-06-2021
51;;146;03-07-2021
16;;84;03-07-2021
35;95;;03-07-2021
63;;23;03-07-2021
122;36;;03-08-2021
141;35;;03-08-2021
48;20;;03-08-2021
77;;107;03-08-2021
73;81;;03-09-2021
54;43;;03-09-2021
54;;82;03-09-2021
59;97;;03-09-2021
119;;118;03-09-2021
25;;115;03-10-2021
119;;78;03-10-2021
141;;148;03-11-2021
77;;133;03-11-2021
46;20;;03-11-2021
122;17;;03-12-2021
76;;125;03-13-2021
141;;119;03-13-2021
119;21;;03-13-2021
123;78;;03-13-2021
45;34;;03-13-2021
119;;153;03-14-2021
46;66;;03-14-2021
106;72;;03-14-2021
70;;6;03-14-2021
76;;143;03-15-2021
22;;11;03-16-2021
47;;84;03-16-2021
34;;92;03-17-2021
22;;20;03-17-2021
51;;99;03-17-2021
92;54;;03-17-2021
38;;48;03-18-2021
93;42;;03-18-2021
48;;157;03-18-2021
34;80;;03-18-2021
115;;138;03-19-2021
123;;115;03-19-2021
16;;67;03-19-2021
141;19;;03-19-2021
141;;41;03-20-2021
50;2;;03-20-2021
141;;37;03-20-2021
92;100;;03-20-2021
70;;136;03-20-2021
133;20;;03-20-2021
19;;150;03-21-2021
122;;91;03-21-2021
61;;88;03-21-2021
68;77;;03-21-2021
54;;101;03-22-2021
54;;102;03-22-2021
24;38;;03-22-2021
38;44;;03-22-2021
15;;101;03-22-2021
25;;116;03-22-2021
54;;71;03-22-2021
17;;96;03-23-2021
93;;83;03-23-2021
62;;118;03-23-2021
19;38;;03-23-2021
4;;100;03-24-2021
87;;113;03-24-2021
122;61;;03-24-2021
2;5;;03-24-2021
48;86;;03-25-2021
65;;83;03-25-2021
38;100;;03-25-2021
40;;140;03-26-2021
37;;110;03-26-2021
17;5;;03-26-2021
35;48;;03-26-2021
97;50;;03-27-2021
18;;77;03-27-2021
18;;109;03-27-2021
54;;132;03-28-2021
77;;119;03-28-2021
73;;115;03-28-2021
115;;113;03-28-2021
3;;149;03-28-2021
38;;4;03-29-2021
48;;56;03-29-2021
22;;93;03-30-2021
35;39;;03-30-2021
54;;79;03-30-2021
62;;106;03-30-2021
17;83;;03-30-2021
119;;89;03-30-2021
97;101;;03-31-2021
17;;87;03-31-2021
122;;131;03-31-2021
55;78;;03-31-2021
59;66;;04-01-2021
4;;89;04-01-2021
31;;104;04-01-2021
48;;52;04-02-2021
25;;153;04-02-2021
46;50;;04-02-2021
68;;105;04-03-2021
40;;133;04-03-2021
67;;153;04-03-2021
77;;7;04-04-2021
97;;148;04-04-2021
61;;87;04-04-2021
77;;100;04-04-2021
17;;100;04-04-2021
61;;76;04-04-2021
23;;69;04-04-2021
42;31;;04-04-2021
61;5;;04-05-2021
12;48;;04-05-2021
48;;58;04-05-2021
71;;133;04-06-2021
95;;137;04-06-2021
12;;119;04-06-2021
72;20;;04-06-2021
115;;77;04-07-2021
16;;142;04-07-2021
77;;17;04-07-2021
14;;123;04-07-2021
64;;132;04-08-2021
39;;37;04-08-2021
142;;102;04-09-2021
82;100;;04-09-2021
18;;98;04-10-2021
92;;81;04-10-2021
19;;122;04-10-2021
146;;60;04-11-2021
22;;4;04-11-2021
119;;86;04-11-2021
28;64;;04-11-2021
14;;129;04-12-2021
16;;62;04-12-2021
4;75;;04-12-2021
73;;87;04-12-2021
36;49;;04-12-2021
37;;108;04-12-2021
56;;114;04-13-2021
39;;49;04-13-2021
19;;120;04-13-2021
105;83;;04-13-2021
54;;75;04-14-2021
2;96;;04-14-2021
39;;48;04-14-2021
19;;151;04-14-2021
12;54;;04-14-2021
68;48;;04-14-2021
90;;89;04-14-2021
55;;147;04-14-2021
64;;134;04-14-2021
142;19;;04-14-2021
41;;85;04-15-2021
49;;149;04-15-2021
58;2;;04-15-2021
48;;92;04-15-2021
18;;96;04-15-2021
17;;116;04-15-2021
90;;136;04-16-2021
59;97;;04-16-2021
41;77;;04-16-2021
72;72;;04-16-2021
119;;146;04-16-2021
47;;140;04-17-2021
141;;125;04-17-2021
115;;100;04-18-2021
18;;144;04-18-2021
141;;86;04-18-2021
92;17;;04-18-2021
36;21;;04-19-2021
31;45;;04-19-2021
5;44;;04-19-2021
18;34;;04-20-2021
46;;130;04-20-2021
141;;47;04-20-2021
23;;126;04-21-2021
65;;95;04-21-2021
35;75;;04-21-2021
61;;114;04-21-2021
10;;134;04-21-2021
15;;94;04-21-2021
37;54;;04-22-2021
57;;90;04-22-2021
25;;128;04-22-2021
130;48;;04-23-2021
17;75;;04-24-2021
24;;108;04-24-2021
12;;148;04-24-2021
40;;119;04-25-2021
115;;113;04-25-2021
47;21;;04-25-2021
39;;157;04-25-2021
70;;149;04-25-2021
24;80;;04-25-2021
48;19;;04-27-2021
67;;105;04-27-2021
51;;73;04-27-2021
71;;134;04-28-2021
90;;110;04-28-2021
16;;106;04-28-2021
61;;132;04-28-2021
72;84;;04-29-2021
92;;71;04-29-2021
63;51;;04-30-2021
28;;116;04-30-2021
8;80;;05-01-2021
8;78;;05-01-2021
71;;132;05-01-2021
97;99;;05-01-2021
54;;99;05-01-2021
34;;90;05-01-2021
17;81;;05-02-2021
35;;86;05-02-2021
47;82;;05-02-2021
35;32;;05-03-2021
63;1;;05-03-2021
41;26;;05-03-2021
41;86;;05-03-2021
67;80;;05-03-2021
122;;157;05-04-2021
92;42;;05-04-2021
40;;134;05-04-2021
46;35;;05-04-2021
12;;129;05-04-2021
49;;97;05-04-2021
13;5;;05-05-2021
11;;77;05-05-2021
22;;19;05-06-2021
90;;93;05-06-2021
92;;74;05-06-2021
65;31;;05-06-2021
13;;112;05-07-2021
64;64;;05-07-2021
15;37;;05-07-2021
4;35;;05-07-2021
50;80;;05-07-2021
42;97;;05-08-2021
87;;111;05-08-2021
16;;89;05-08-2021
108;;64;05-08-2021
65;;83;05-08-2021
105;1;;05-08-2021
115;;48;05-09-2021
23;;52;05-09-2021
32;42;;05-09-2021
39;;124;05-10-2021
30;;111;05-10-2021
97;;103;05-10-2021
31;97;;05-11-2021
34;;136;05-11-2021
13;;134;05-11-2021
21;;157;05-11-2021
108;;84;05-11-2021
55;64;;05-12-2021
23;;57;05-12-2021
141;90;;05-12-2021
76;48;;05-13-2021
119;;84;05-13-2021
49;;121;05-13-2021
46;;131;05-14-2021
76;;123;05-14-2021
18;;80;05-15-2021
21;;86;05-15-2021
66;;105;05-16-2021
14;;134;05-17-2021
63;;108;05-17-2021
105;5;;05-17-2021
97;;133;05-17-2021
36;;156;05-17-2021
115;;157;05-18-2021
18;;150;05-18-2021
122;;156;05-18-2021
68;;120;05-18-2021
4;26;;05-18-2021
93;64;;05-18-2021
55;100;;05-19-2021
59;73;;05-19-2021
54;95;;05-19-2021
115;;128;05-19-2021
49;;70;05-19-2021
51;;142;05-19-2021
115;;101;05-20-2021
72;93;;05-20-2021
23;;146;05-20-2021
4;;85;05-21-2021
132;;47;05-21-2021
43;36;;05-21-2021
69;83;;05-22-2021
32;;125;05-22-2021
77;;4;05-22-2021
49;;101;05-22-2021
45;;20;05-22-2021
64;59;;05-22-2021
72;40;;05-23-2021
23;19;;05-23-2021
35;42;;05-23-2021
45;;81;05-23-2021
55;;149;05-23-2021
18;;151;05-23-2021
37;76;;05-24-2021
51;;143;05-24-2021
47;;82;05-24-2021
44;;155;05-24-2021
11;;151;05-25-2021
97;17;;05-26-2021
72;;98;05-26-2021
55;78;;05-26-2021
8;;107;05-26-2021
15;;1;05-26-2021
40;;84;05-26-2021
65;;122;05-26-2021
9;;136;05-27-2021
22;;88;05-28-2021
70;;14;05-28-2021
46;;129;05-28-2021
54;;77;05-28-2021
36;;119;05-29-2021
49;;111;05-29-2021
46;;68;05-29-2021
15;;99;05-30-2021
70;;108;05-31-2021
5;44;;05-31-2021
67;;71;05-31-2021
90;;124;05-31-2021
21;;61;05-31-2021
70;93;;06-01-2021
73;;115;06-01-2021
65;78;;06-01-2021
12;50;;06-01-2021
27;;89;06-01-2021
80;5;;06-01-2021
30;53;;06-01-2021
73;;47;06-01-2021
90;;87;06-01-2021
3;;99;06-02-2021
108;;86;06-02-2021
31;42;;06-02-2021
54;;114;06-02-2021
44;;129;06-02-2021
40;;70;06-02-2021
80;96;;06-02-2021
62;81;;06-02-2021
38;33;;06-03-2021
13;;40;06-03-2021
43;;136;06-03-2021
65;62;;06-03-2021
15;;5;06-04-2021
142;;92;06-04-2021
50;35;;06-04-2021
68;100;;06-04-2021
90;;123;06-04-2021
28;50;;06-05-2021
64;;133;06-05-2021
66;;144;06-05-2021
123;13;;06-06-2021
26;;92;06-06-2021
65;;102;06-06-2021
4;20;;06-06-2021
40;;128;06-07-2021
30;90;;06-07-2021
16;54;;06-07-2021
68;88;;06-07-2021
146;;99;06-08-2021
30;;10;06-08-2021
19;5;;06-08-2021
106;;118;06-08-2021
65;;94;06-08-2021
119;;77;06-08-2021
35;82;;06-08-2021
44;;107;06-08-2021
30;2;;06-08-2021
123;;68;06-08-2021
41;;126;06-08-2021
50;75;;06-08-2021
73;;119;06-09-2021
106;;119;06-09-2021
69;19;;06-09-2021
30;;132;06-09-2021
44;;105;06-09-2021
23;;3;06-09-2021
21;48;;06-10-2021
115;;111;06-10-2021
106;;113;06-10-2021
106;;53;06-11-2021
68;68;;06-11-2021
72;;96;06-11-2021
30;;118;06-11-2021
30;;14;06-11-2021
13;7;;06-11-2021
45;;8;06-11-2021
87;;106;06-11-2021
23;;155;06-11-2021
64;;143;06-12-2021
30;;134;06-12-2021
8;38;;06-12-2021
39;83;;06-12-2021
56;35;;06-13-2021
48;;121;06-13-2021
106;;112;06-13-2021
21;20;;06-13-2021
30;;27;06-13-2021
58;;105;06-13-2021
67;43;;06-14-2021
106;;111;06-14-2021
19;;152;06-14-2021
72;;97;06-14-2021
32;88;;06-15-2021
77;;5;06-15-2021
54;;76;06-15-2021
35;70;;06-15-2021
54;;73;06-16-2021
74;;132;06-16-2021
27;65;;06-16-2021
106;;150;06-16-2021
57;48;;06-16-2021
52;;99;06-17-2021
15;;85;06-17-2021
52;;88;06-17-2021
71;64;;06-17-2021
54;;82;06-17-2021
8;;105;06-17-2021
74;;145;06-18-2021
39;45;;06-18-2021
23;;145;06-18-2021
21;35;;06-18-2021
92;;145;06-18-2021
106;;60;06-18-2021
49;2;;06-19-2021
90;37;;06-19-2021
106;;85;06-19-2021
106;;58;06-19-2021
24;;125;06-19-2021
11;20;;06-19-2021
21;;92;06-19-2021
16;;157;06-19-2021
24;;91;06-19-2021
46;42;;06-20-2021
39;;156;06-20-2021
106;;151;06-20-2021
60;65;;06-20-2021
54;;100;06-21-2021
4;;88;06-21-2021
132;90;;06-21-2021
30;;119;06-21-2021
106;;117;06-21-2021
35;49;;06-21-2021
3;;105;06-21-2021
39;;56;06-21-2021
105;72;;06-21-2021
30;;133;06-21-2021
97;;92;06-22-2021
30;;117;06-22-2021
23;;107;06-22-2021
80;66;;06-22-2021
119;;144;06-22-2021
38;;65;06-22-2021
54;;8;06-22-2021
73;;102;06-22-2021
30;100;;06-23-2021
22;;77;06-23-2021
25;26;;06-23-2021
95;40;;06-23-2021
77;;6;06-23-2021
1;;156;06-23-2021
10;;106;06-24-2021
21;;157;06-24-2021
73;;54;06-24-2021
108;;103;06-25-2021
115;83;;06-25-2021
52;;131;06-25-2021
24;43;;06-25-2021
146;;62;06-26-2021
28;;137;06-26-2021
70;;148;06-27-2021
25;;156;06-27-2021
51;75;;06-27-2021
10;;132;06-27-2021
38;;143;06-27-2021
18;;85;06-27-2021
12;;118;06-28-2021
130;;117;06-28-2021
41;33;;06-28-2021
18;;4;06-28-2021
64;;142;06-29-2021
93;5;;06-29-2021
57;;92;06-29-2021
54;;115;06-29-2021
119;72;;06-29-2021
4;;126;06-29-2021
21;;58;06-29-2021
71;82;;06-29-2021
4;;147;06-30-2021
37;;131;06-30-2021
92;;84;06-30-2021
72;74;;06-30-2021
62;;94;06-30-2021
130;;155;06-30-2021
23;;86;06-30-2021
45;;83;06-30-2021
130;65;;07-01-2021
40;31;;07-01-2021
35;;109;07-01-2021
69;;98;07-01-2021
30;;107;07-01-2021
108;39;;07-01-2021
68;;107;07-01-2021
97;41;;07-01-2021
40;5;;07-02-2021
73;;141;07-02-2021
45;19;;07-02-2021
16;;124;07-02-2021
46;;139;07-02-2021
62;;29;07-02-2021
17;81;;07-03-2021
68;;150;07-03-2021
49;;4;07-03-2021
106;;104;07-04-2021
61;2;;07-04-2021
59;;144;07-04-2021
55;;89;07-04-2021
48;;98;07-04-2021
146;45;;07-04-2021
4;;91;07-04-2021
82;;105;07-04-2021
130;83;;07-04-2021
92;;114;07-05-2021
41;;86;07-05-2021
77;;2;07-05-2021
70;;143;07-06-2021
15;;118;07-06-2021
73;;143;07-06-2021
142;;115;07-06-2021
4;;92;07-07-2021
73;;48;07-07-2021
24;;113;07-07-2021
77;;66;07-07-2021
49;;100;07-07-2021
119;;18;07-07-2021
3;;147;07-08-2021
74;;50;07-08-2021
54;;104;07-08-2021
32;;157;07-08-2021
64;;148;07-08-2021
36;;27;07-08-2021
23;;108;07-08-2021
46;95;;07-08-2021
82;77;;07-09-2021
24;77;;07-09-2021
74;;35;07-09-2021
74;;146;07-09-2021
106;;157;07-09-2021
46;75;;07-09-2021
34;51;;07-10-2021
17;;107;07-10-2021
69;83;;07-10-2021
51;61;;07-11-2021
64;;154;07-11-2021
59;;85;07-11-2021
36;75;;07-11-2021
73;;118;07-11-2021
36;;118;07-12-2021
87;42;;07-12-2021
26;78;;07-12-2021
90;;125;07-12-2021
72;99;;07-12-2021
28;;115;07-12-2021
60;;84;07-13-2021
45;21;;07-13-2021
4;;90;07-13-2021
25;;127;07-13-2021
4;;54;07-13-2021
36;17;;07-13-2021
106;26;;07-13-2021
50;83;;07-13-2021
10;;131;07-13-2021
106;;156;07-13-2021
6;;80;07-14-2021
38;;68;07-14-2021
65;5;;07-14-2021
39;75;;07-14-2021
80;20;;07-14-2021
21;2;;07-15-2021
3;;102;07-15-2021
65;;104;07-15-2021
