pid;sid;cid;titulo;duracion;clasificacion;puntuacion;año;numero;serie;genero
49;;;Hall Pass;105;PG-13;3.7;2011;;;Comedia
50;;;The Croods;98;G;5.3;2013;;;Aventura
50;;;The Croods;98;G;5.3;2013;;;Animación
50;;;The Croods;98;G;5.3;2013;;;Acción
51;;;Barry Munday;95;PG;5;2010;;;Romance
51;;;Barry Munday;95;PG;5;2010;;;Drama
51;;;Barry Munday;95;PG;5;2010;;;Comedia
52;;;Chasing 3000;115;G;9.8;2010;;;Familiar
52;;;Chasing 3000;115;G;9.8;2010;;;Deporte
53;;;Red Tails;125;G;5.2;2012;;;Histórico
53;;;Red Tails;125;G;5.2;2012;;;Drama
53;;;Red Tails;125;G;5.2;2012;;;Acción
54;;;Aftermath;84;PG-13;3.6;2013;;;Thriller
54;;;Aftermath;84;PG-13;3.6;2013;;;Crimen
55;;;The Invited;95;G;5.3;2010;;;Thriller
55;;;The Invited;95;G;5.3;2010;;;Horror
56;;;Something Borrowed;112;PG-13;3.2;2011;;;Romance
56;;;Something Borrowed;112;PG-13;3.2;2011;;;Drama
56;;;Something Borrowed;112;PG-13;3.2;2011;;;Comedia
57;;;CHIPS;100;PG;3.6;2017;;;Crimen
57;;;CHIPS;100;PG;3.6;2017;;;Comedia
57;;;CHIPS;100;PG;3.6;2017;;;Acción
58;;;Ramona and Beezus;104;G;5.4;2010;;;Familiar
58;;;Ramona and Beezus;104;G;5.4;2010;;;Drama
58;;;Ramona and Beezus;104;G;5.4;2010;;;Comedia
59;;;Rings;102;G;7.3;2017;;;Misterio
59;;;Rings;102;G;7.3;2017;;;Horror
59;;;Rings;102;G;7.3;2017;;;Drama
60;;;Love & Other Drugs;112;PG-13;6.8;2010;;;Romance
60;;;Love & Other Drugs;112;PG-13;6.8;2010;;;Drama
60;;;Love & Other Drugs;112;PG-13;6.8;2010;;;Comedia
61;;;Syrup;90;PG-13;2.6;2013;;;Romance
61;;;Syrup;90;PG-13;2.6;2013;;;Drama
61;;;Syrup;90;PG-13;2.6;2013;;;Comedia
62;;;A Thousand Words;91;PG-13;5.2;2012;;;Drama
62;;;A Thousand Words;91;PG-13;5.2;2012;;;Comedia
63;;;The Legend of Secret Pass;92;G;8.9;2010;;;Fantasía
63;;;The Legend of Secret Pass;92;G;8.9;2010;;;Familiar
63;;;The Legend of Secret Pass;92;G;8.9;2010;;;Animación
64;;;Night of the Templar;101;PG;9;2013;;;Misterio
64;;;Night of the Templar;101;PG;9;2013;;;Horror
65;;;What's Your Number?;106;G;1.4;2011;;;Romance
65;;;What's Your Number?;106;G;1.4;2011;;;Comedia
66;;;Jersey Justice;100;PG-13;6.3;2014;;;Thriller
66;;;Jersey Justice;100;PG-13;6.3;2014;;;Acción
67;;;Cell;98;PG;8.8;2016;;;Horror
67;;;Cell;98;PG;8.8;2016;;;Drama
67;;;Cell;98;PG;8.8;2016;;;Acción
68;;;Night Catches Us;90;PG;7.4;2010;;;Romance
68;;;Night Catches Us;90;PG;7.4;2010;;;Drama
69;;;Drive;100;G;1.1;2011;;;Drama
69;;;Drive;100;G;1.1;2011;;;Crimen
70;;;Kid Cannabis;110;PG;8.9;2014;;;Crimen
70;;;Kid Cannabis;110;PG;8.9;2014;;;Comedia
70;;;Kid Cannabis;110;PG;8.9;2014;;;Biografía
71;;;Santorini Blue;90;PG;6.7;2013;;;Drama
71;;;Santorini Blue;90;PG;6.7;2013;;;Comedia
72;;;The Wolfman;103;G;4.5;2010;;;Horror
72;;;The Wolfman;103;G;4.5;2010;;;Fantasía
72;;;The Wolfman;103;G;4.5;2010;;;Drama
73;;;The Last Full Measure;116;G;9.7;2019;;;Guerra
73;;;The Last Full Measure;116;G;9.7;2019;;;Drama
74;;;The Boxtrolls;96;NC-17;1;2014;;;Comedia
74;;;The Boxtrolls;96;NC-17;1;2014;;;Aventura
74;;;The Boxtrolls;96;NC-17;1;2014;;;Animación
75;;;The Incredible Burt Wonderstone;100;PG;4.6;2013;;;Comedia
76;;;Dallas Buyers Club;117;PG;4.9;2013;;;Drama
76;;;Dallas Buyers Club;117;PG;4.9;2013;;;Biografía
77;;;Elliot Loves;92;G;1.9;2012;;;Romance
77;;;Elliot Loves;92;G;1.9;2012;;;Comedia
78;;;Jack Reacher;130;G;9.8;2012;;;Thriller
78;;;Jack Reacher;130;G;9.8;2012;;;Acción
79;;;R.I.P.D.;96;PG-13;5.1;2013;;;Comedia
79;;;R.I.P.D.;96;PG-13;5.1;2013;;;Aventura
79;;;R.I.P.D.;96;PG-13;5.1;2013;;;Acción
80;;;Miles Ahead;100;G;5.6;2015;;;Música
80;;;Miles Ahead;100;G;5.6;2015;;;Drama
80;;;Miles Ahead;100;G;5.6;2015;;;Biografía
81;;;The Yellow Wallpaper;115;PG;5.3;2012;;;Thriller
82;;;Scary Movie 5;88;PG;7.2;2013;;;Horror
82;;;Scary Movie 5;88;PG;7.2;2013;;;Comedia
83;;;13;91;PG-13;2.6;2010;;;Thriller
83;;;13;91;PG-13;2.6;2010;;;Drama
83;;;13;91;PG-13;2.6;2010;;;Crimen
84;;;The Dirt;107;PG-13;1.3;2019;;;Drama
84;;;The Dirt;107;PG-13;1.3;2019;;;Comedia
84;;;The Dirt;107;PG-13;1.3;2019;;;Biografía
85;;;Thor;115;PG;10;2011;;;Fantasía
85;;;Thor;115;PG;10;2011;;;Aventura
85;;;Thor;115;PG;10;2011;;;Acción
86;;;Devil's Knot;114;R;8.3;2013;;;Drama
86;;;Devil's Knot;114;R;8.3;2013;;;Crimen
86;;;Devil's Knot;114;R;8.3;2013;;;Biografía
87;;;It's Kind of a Funny Story;101;PG;8.1;2010;;;Romance
87;;;It's Kind of a Funny Story;101;PG;8.1;2010;;;Drama
87;;;It's Kind of a Funny Story;101;PG;8.1;2010;;;Comedia
88;;;Jack and Jill;91;G;3;2011;;;Comedia
89;;;The Do-Deca-Pentathlon;76;PG;9.4;2012;;;Comedia
90;;;She's Out of My League;104;G;9.6;2010;;;Romance
90;;;She's Out of My League;104;G;9.6;2010;;;Comedia
91;;;Flipped;90;PG-13;6.9;2010;;;Romance
91;;;Flipped;90;PG-13;6.9;2010;;;Drama
91;;;Flipped;90;PG-13;6.9;2010;;;Comedia
92;;;Valentine's Day;125;PG;5.3;2010;;;Romance
92;;;Valentine's Day;125;PG;5.3;2010;;;Comedia
93;;;The Power of Few;96;G;4.5;2013;;;Drama
93;;;The Power of Few;96;G;4.5;2013;;;Crimen
93;;;The Power of Few;96;G;4.5;2013;;;Acción
94;;;Dreamkiller;110;PG-13;8.5;2010;;;Thriller
94;;;Dreamkiller;110;PG-13;8.5;2010;;;Fantasía oscura
95;;;Priest;87;PG;3.8;2011;;;Thriller
95;;;Priest;87;PG;3.8;2011;;;Horror
95;;;Priest;87;PG;3.8;2011;;;Acción
96;;;Maximum Ride;88;PG-13;3.9;2016;;;Comedia
96;;;Maximum Ride;88;PG-13;3.9;2016;;;Aventura
96;;;Maximum Ride;88;PG-13;3.9;2016;;;Acción
97;;;Waking Madison;89;G;5.2;2010;;;Drama
98;;;The Babymakers;95;NC-17;6.6;2012;;;Comedia
99;;;Electric Slide;95;PG;6.7;2014;;;Crimen
99;;;Electric Slide;95;PG;6.7;2014;;;Biografía
99;;;Electric Slide;95;PG;6.7;2014;;;Acción
100;;;Krystal;90;PG-13;2;2017;;;Drama
100;;;Krystal;90;PG-13;2;2017;;;Comedia
101;;;Scream;111;NC-17;7;1996;;;Slasher
101;;;Scream;111;NC-17;7;1996;;;Horror
;11;97;La primera polaroid;62;R;8.3;2017;2;13 reasons why;Thriller sicológico
;11;96;Casete 1: lado A;60;R;8.3;2017;1;13 reasons why;Thriller sicológico
;11;98;Si: soy la chica nueva;56;R;8.3;2017;3;13 reasons why;Thriller sicológico
;8;89;Carla;58;R;5.8;2018;3;Élite;Thriller
;7;86;Hemos vuelto;50;PG-13;8;2017;3;La Casa de Papel;Thriller
;11;98;Si: soy la chica nueva;56;R;8.3;2017;3;13 reasons why;Thriller
;5;75;Los sobrevivientes;59;PG-13;9.9;2017;3;Dark;Thriller
;7;84;Efectuar lo acordado;50;PG-13;8;2017;1;La Casa de Papel;Thriller
;11;96;Casete 1: lado A;60;R;8.3;2017;1;13 reasons why;Thriller
;22;129;Episode 1;40;PG;8.6;2013;1;Peaky Blinders;Thriller
;5;72;Principios y finales;53;PG-13;9.9;2017;2;Dark;Thriller
;27;145;The Return;49;PG-13;9.2;2009;2;The Vampire Diaries;Thriller
;7;85;Se acabaron las máscaras;50;PG-13;8;2017;2;La Casa de Papel;Thriller
;8;87;Bienvenidos;60;R;5.8;2018;1;Élite;Thriller
;27;144;Pilot;49;PG-13;9.2;2009;1;The Vampire Diaries;Thriller
;22;130;Episode 1;42;PG;8.6;2013;2;Peaky Blinders;Thriller
;29;150;Estudio en rosa;60;PG-13;9.2;2010;1;Sherlock;Thriller
;11;97;La primera polaroid;62;R;8.3;2017;2;13 reasons why;Thriller
;5;74;Deja vu;60;PG-13;9.9;2017;3;Dark;Thriller
;29;151;Escándalo en Belgravia;60;PG-13;9.2;2010;2;Sherlock;Thriller
;29;152;Many Happy Returns;60;PG-13;9.2;2010;3;Sherlock;Thriller
;8;88;20 horas desaparecido;55;R;5.8;2018;2;Élite;Thriller
;22;131;Episode 1;41;PG;8.6;2013;3;Peaky Blinders;Thriller
;5;70;Secretos;51;PG-13;9.9;2017;1;Dark;Thriller
;5;73;Materia oscura;54;PG-13;9.9;2017;2;Dark;Thriller
;5;71;Mentiras;44;PG-13;9.9;2017;1;Dark;Thriller
;27;146;The Birthday;49;PG-13;9.2;2009;3;The Vampire Diaries;Thriller
;31;156;Exposed;44;NC-17;7.4;2015;1;Scream;Slasher
;31;157;Psycho;45;NC-17;7.4;2015;2;Scream;Slasher
;1;68;Episode 4;65;R;8;2019;2;Sex Education;Romance
;2;30;El de los Kips;22;PG;9.5;1994;5;Friends;Romance
;2;12;El de la leche materna;22;PG;9.5;1994;2;Friends;Romance
;2;21;El de la medusa;22;PG;9.5;1994;4;Friends;Romance
;2;23;El de las esposas;24;PG;9.5;1994;4;Friends;Romance
;1;1;Episode 1;62;R;8;2019;1;Sex Education;Romance
;2;26;El de después de que Ross dijera el nombre de Rachel;22;PG;9.5;1994;5;Friends;Romance
;1;5;Episode 5;64;R;8;2019;1;Sex Education;Romance
;1;4;Episode 4;65;R;8;2019;1;Sex Education;Romance
;18;119;El recuerdo de un recuerdo;21;G;9.4;2010;3;Hora de aventura;Romance
;2;22;El de la gata;26;PG;9.5;1994;4;Friends;Romance
;2;15;El de la carne para cinco y una berenjena;26;PG;9.5;1994;2;Friends;Romance
;2;9;El de George Stephanopoulos;23;PG;9.5;1994;1;Friends;Romance
;2;28;El de los trillizos;24;PG;9.5;1994;5;Friends;Romance
;2;19;El del túnel metafórico;22;PG;9.5;1994;3;Friends;Romance
;28;147;Pilot;40;PG-13;8;2007;1;Gossip Girl;Romance
;2;24;El de los bailes de salón;24;PG;9.5;1994;4;Friends;Romance
;2;13;El de cuando muere Heckles;23;PG;9.5;1994;2;Friends;Romance
;1;2;Episode 2;66;R;8;2019;1;Sex Education;Romance
;2;17;El de cuando nadie está listo;22;PG;9.5;1994;3;Friends;Romance
;1;65;Episode 1;62;R;8;2019;2;Sex Education;Romance
;2;20;El de Frank Jr.;26;PG;9.5;1994;3;Friends;Romance
;2;11;El de la nueva novia de Ross;25;PG;9.5;1994;2;Friends;Romance
;1;69;Episode 5;64;R;8;2019;2;Sex Education;Romance
;18;118;Llegó de la Nocheósfera;21;G;9.4;2010;2;Hora de aventura;Romance
;1;67;Episode 3;59;R;8;2019;2;Sex Education;Romance
;2;29;El que Phoebe odia la PBS;26;PG;9.5;1994;5;Friends;Romance
;2;10;El del detergente de lavandería germano-oriental;22;PG;9.5;1994;1;Friends;Romance
;2;14;El esposo de Phoebe;24;PG;9.5;1994;2;Friends;Romance
;2;6;En el que todo empieza;22;PG;9.5;1994;1;Friends;Romance
;28;148;Verano: una especie de maravilla;42;PG-13;8;2007;2;Gossip Girl;Romance
;2;8;El del pulgar;21;PG;9.5;1994;1;Friends;Romance
;1;66;Episode 2;66;R;8;2019;2;Sex Education;Romance
;2;27;El de los besos;24;PG;9.5;1994;5;Friends;Romance
;28;149;Los contratiempos de la Fortuna;45;PG-13;8;2007;3;Gossip Girl;Romance
;2;18;El de la mermelada;24;PG;9.5;1994;3;Friends;Romance
;2;7;El de la ecografía final;20;PG;9.5;1994;1;Friends;Romance
;1;3;Episode 3;59;R;8;2019;1;Sex Education;Romance
;18;117;Panico en la fiesta del palacio;21;G;9.4;2010;1;Hora de aventura;Romance
;2;16;El de la fantasía de la Princesa Leia;25;PG;9.5;1994;3;Friends;Romance
;2;25;El de la nueva novia de Joey;26;PG;9.5;1994;4;Friends;Romance
;19;122;Los siete magníficos;58;PG-13;8.5;2005;3;Supernatural;Misterio
;8;89;Carla;58;R;5.8;2018;3;Élite;Misterio
;27;145;The Return;49;PG-13;9.2;2009;2;The Vampire Diaries;Misterio
;8;87;Bienvenidos;60;R;5.8;2018;1;Élite;Misterio
;13;103;Capítulo 14: Un beso antes de morir;60;PG-13;4.3;2017;2;Riverdale;Misterio
;13;102;Capítulo 1: Corrientes traicioneras;55;PG-13;4.3;2017;1;Riverdale;Misterio
;19;120;Wendigo;55;PG-13;8.5;2005;1;Supernatural;Misterio
;27;144;Pilot;49;PG-13;9.2;2009;1;The Vampire Diaries;Misterio
;19;121;En mi tiempo de morir;50;PG-13;8.5;2005;2;Supernatural;Misterio
;13;104;Capítulo 36: Día del Trabajo;62;PG-13;4.3;2017;3;Riverdale;Misterio
;11;97;La primera polaroid;62;R;8.3;2017;2;13 reasons why;Misterio
;11;98;Si: soy la chica nueva;56;R;8.3;2017;3;13 reasons why;Misterio
;8;88;20 horas desaparecido;55;R;5.8;2018;2;Élite;Misterio
;11;96;Casete 1: lado A;60;R;8.3;2017;1;13 reasons why;Misterio
;27;146;The Birthday;49;PG-13;9.2;2009;3;The Vampire Diaries;Misterio
;31;157;Psycho;45;NC-17;7.4;2015;2;Scream;Horror
;19;120;Wendigo;55;PG-13;8.5;2005;1;Supernatural;Horror
;19;122;Los siete magníficos;58;PG-13;8.5;2005;3;Supernatural;Horror
;19;121;En mi tiempo de morir;50;PG-13;8.5;2005;2;Supernatural;Horror
;31;156;Exposed;44;NC-17;7.4;2015;1;Scream;Horror
;9;91;Misadventure;60;PG-13;9.5;2016;2;The Crown;Histórico
;22;129;Episode 1;40;PG;8.6;2013;1;Peaky Blinders;Histórico
;22;131;Episode 1;41;PG;8.6;2013;3;Peaky Blinders;Histórico
;9;90;Wolferton Splash;62;PG-13;9.5;2016;1;The Crown;Histórico
;9;92;Olding;58;PG-13;9.5;2016;3;The Crown;Histórico
;22;130;Episode 1;42;PG;8.6;2013;2;Peaky Blinders;Histórico
;24;137;Señal de humo;23;PG-13;9.8;2010;3;Ataque a los titanes;Fantasía oscura
;24;135;A ti: 2.000 años en el futuro;23;PG-13;9.8;2010;1;Ataque a los titanes;Fantasía oscura
;24;136;El titán bestia;23;PG-13;9.8;2010;2;Ataque a los titanes;Fantasía oscura
;3;37;El maestro del juego;23;PG;10;2012;2;Jojo's Bizarre Adventure;Fantasía
;3;33;Juventud con dio;23;PG;10;2012;1;Jojo's Bizarre Adventure;Fantasía
;3;47;¡Josuke Higashikata! Conoce a Angelo;23;PG;10;2012;4;Jojo's Bizarre Adventure;Fantasía
;3;39;Jojo vs. la forma de vida definitiva;23;PG;10;2012;2;Jojo's Bizarre Adventure;Fantasía
;14;105;Partida x Y x Compañeros;24;G;7.5;2011;1;Hunter x Hunter;Fantasía
;3;31;Dio: el invasor;23;PG;10;2012;1;Jojo's Bizarre Adventure;Fantasía
;25;140;Interludio;23;PG;8.6;2003;3;Full Metal Alchemist Brotherhood;Fantasía
;3;45;Silver Chariot;23;PG;10;2012;3;Jojo's Bizarre Adventure;Fantasía
;3;40;Los guerreros definitivos de tiempos antiguos;23;PG;10;2012;2;Jojo's Bizarre Adventure;Fantasía
;3;49;Los Hermanos Nijimura (Parte 2);23;PG;10;2012;4;Jojo's Bizarre Adventure;Fantasía
;3;46;¡Jotaro Kujo! Conoce a Josuke Higashikata;23;PG;10;2012;4;Jojo's Bizarre Adventure;Fantasía
;3;41;un hombre poseído por un espíritu maligno;23;PG;10;2012;3;Jojo's Bizarre Adventure;Fantasía
;3;34;Overdrive;23;PG;10;2012;1;Jojo's Bizarre Adventure;Fantasía
;14;106;Un x Guardián x Peligroso;24;G;7.5;2011;2;Hunter x Hunter;Fantasía
;3;35;Los caballeros oscuros;23;PG;10;2012;1;Jojo's Bizarre Adventure;Fantasía
;25;139;Los que acechan bajo tierra;23;PG;8.6;2003;2;Full Metal Alchemist Brotherhood;Fantasía
;3;36;El jojo de nueva york;23;PG;10;2012;2;Jojo's Bizarre Adventure;Fantasía
;3;44;Tower of gray;23;PG;10;2012;3;Jojo's Bizarre Adventure;Fantasía
;3;42;¡¿quién será el juez?!;23;PG;10;2012;3;Jojo's Bizarre Adventure;Fantasía
;25;138;El alquimista de acero;23;PG;8.6;2003;1;Full Metal Alchemist Brotherhood;Fantasía
;3;32;Una carta del pasado;23;PG;10;2012;1;Jojo's Bizarre Adventure;Fantasía
;3;48;Los Hermanos Nijimura (Parte 1);23;PG;10;2012;4;Jojo's Bizarre Adventure;Fantasía
;14;107;Respuesta de papa;24;G;7.5;2011;3;Hunter x Hunter;Fantasía
;3;50;Los Hermanos Nijimura (Parte 3);23;PG;10;2012;4;Jojo's Bizarre Adventure;Fantasía
;3;38;El hombre del pilar;23;PG;10;2012;2;Jojo's Bizarre Adventure;Fantasía
;3;43;La maldición de dio;23;PG;10;2012;3;Jojo's Bizarre Adventure;Fantasía
;6;79;Relox;32;G;10;2003;2;31 minutos;Familiar
;6;76;El comienzo;29;G;10;2003;1;31 minutos;Familiar
;26;142;El estado avatar;24;G;7.9;2005;2;Avatar: la leyenda de Aang;Familiar
;18;117;Panico en la fiesta del palacio;21;G;9.4;2010;1;Hora de aventura;Familiar
;18;119;El recuerdo de un recuerdo;21;G;9.4;2010;3;Hora de aventura;Familiar
;6;77;El arbol furioso;31;G;10;2003;1;31 minutos;Familiar
;6;83;Cirugía;32;G;10;2003;4;31 minutos;Familiar
;18;118;Llegó de la Nocheósfera;21;G;9.4;2010;2;Hora de aventura;Familiar
;6;81;La maquina del tiempo;31;G;10;2003;3;31 minutos;Familiar
;6;78;Vacaciones;34;G;10;2003;2;31 minutos;Familiar
;26;143;El despertar;24;G;7.9;2005;3;Avatar: la leyenda de Aang;Familiar
;26;141;El niño en el iceberg;24;G;7.9;2005;1;Avatar: la leyenda de Aang;Familiar
;6;80;Por el sr. manguera;28;G;10;2003;3;31 minutos;Familiar
;6;82;La mona lisa;32;G;10;2003;4;31 minutos;Familiar
;1;2;Episode 2;66;R;8;2019;1;Sex Education;Drama
;5;73;Materia oscura;54;PG-13;9.9;2017;2;Dark;Drama
;5;75;Los sobrevivientes;59;PG-13;9.9;2017;3;Dark;Drama
;28;147;Pilot;40;PG-13;8;2007;1;Gossip Girl;Drama
;27;146;The Birthday;49;PG-13;9.2;2009;3;The Vampire Diaries;Drama
