ID_actividad,ID_usuario,ID_videojuego,cantidad,veredicto,titulo,texto
112,54,37,1,sin,sin,sin
113,91,18,23.5,sin,sin,sin
114,96,3025,4.75,sin,sin,sin
115,129,7346,1.75,sin,sin,sin
116,134,11198,3.5,sin,sin,sin
117,149,124,100,sin,sin,sin
118,36,1942,3,sin,sin,sin
119,139,1011,3.75,sin,sin,sin
120,78,673,48,sin,sin,sin
121,135,1164,5,sin,sin,sin
122,86,40,1,sin,sin,sin
123,69,538,3.5,sin,sin,sin
124,77,25076,3,sin,sin,sin
125,150,559,3.75,sin,sin,sin
126,104,116,24,sin,sin,sin
127,105,43,0,sin,sin,sin
128,10,75,10,sin,sin,sin
129,98,7344,1,sin,sin,sin
130,87,1068,9.5,sin,sin,sin
131,83,472,2,sin,sin,sin
132,28,,,sin,sin,sin
133,148,1164,1.5,sin,sin,sin
134,102,974,1.5,sin,sin,sin
135,100,113,2,sin,sin,sin
136,101,14593,48,sin,sin,sin
137,129,9730,27.5,sin,sin,sin
138,150,14593,2.25,sin,sin,sin
139,100,9630,22.5,sin,sin,sin
140,135,358,4.5,sin,sin,sin
141,64,7599,60,sin,sin,sin
142,142,974,5,sin,sin,sin
143,110,533,32,sin,sin,sin
144,135,1942,2.5,sin,sin,sin
145,19,14593,60,sin,sin,sin
147,96,622,2,sin,sin,sin
148,131,74,40,sin,sin,sin
149,84,128,10,sin,sin,sin
150,78,128,60,sin,sin,sin
151,145,5503,,positivo,Nisiquiera la mejor de las odas podría describir este juego,Ahhhh... un manjarsh
152,89,1011,4.25,sin,sin,sin
153,22,2031,36.5,sin,sin,sin
154,111,1266,3.5,sin,sin,sin
155,88,1262,90,sin,sin,sin
156,83,731,30,sin,sin,sin
157,141,1331,0.75,sin,sin,sin
158,125,1970,0,sin,sin,sin
159,94,109,90,sin,sin,sin
160,120,529,1.25,sin,sin,sin
161,64,230,18.5,sin,sin,sin
162,108,1011,80.25,sin,sin,sin
163,133,37,5,sin,sin,sin
164,143,26758,42,sin,sin,sin
165,91,116,2,sin,sin,sin
166,81,960,1,sin,sin,sin
167,35,9630,7,sin,sin,sin
168,146,76,,negativo,Peor juego,Más malo que la pizza helada
169,85,622,1,sin,sin,sin
170,93,1942,80.25,sin,sin,sin
171,139,38,90,sin,sin,sin
172,148,11133,3,sin,sin,sin
173,88,1029,10,sin,sin,sin
174,127,1262,2,sin,sin,sin
175,124,7351,2.25,sin,sin,sin
176,81,231,3.75,sin,sin,sin
177,100,549,26,sin,sin,sin
178,143,7344,60,sin,sin,sin
179,137,231,10,sin,sin,sin
180,76,2207,5,sin,sin,sin
181,111,974,0,sin,sin,sin
182,102,3025,90,sin,sin,sin
183,92,7323,5,sin,sin,sin
184,128,231,60,sin,sin,sin
186,127,59,2.5,sin,sin,sin
187,136,431,4.75,sin,sin,sin
188,10,126,15,sin,sin,sin
189,80,11208,43.5,sin,sin,sin
190,105,1121,2,sin,sin,sin
191,85,14593,0.5,sin,sin,sin
192,27,493,13,sin,sin,sin
193,23,501,2.25,sin,sin,sin
194,102,7346,52,sin,sin,sin
195,111,1970,24,sin,sin,sin
196,40,478,48,sin,sin,sin
197,76,26758,3.5,sin,sin,sin
198,44,1070,28,sin,sin,sin
199,135,1068,7,sin,sin,sin
200,116,21,4.75,sin,sin,sin
201,138,12517,1,sin,sin,sin
202,74,1942,60,sin,sin,sin
203,112,472,1.75,sin,sin,sin
204,79,8173,2,sin,sin,sin
205,82,59,5,sin,sin,sin
207,112,7344,3.75,sin,sin,sin
208,134,5503,44,sin,sin,sin
209,112,732,32,sin,sin,sin
210,98,16,0,sin,sin,sin
211,117,7342,3,sin,sin,sin
212,106,1384,,negativo,Parace una broma que existe un juego como este,Más malo que la pizza helada
213,38,733,4.5,sin,sin,sin
214,147,2155,75,sin,sin,sin
215,131,1871,52,sin,sin,sin
216,150,343,0.75,sin,sin,sin
217,88,2155,3.5,sin,sin,sin
218,100,545,0,sin,sin,sin
219,102,1068,23,sin,sin,sin
220,96,247,80.25,sin,sin,sin
221,116,9730,41.5,sin,sin,sin
222,96,979,0.5,sin,sin,sin
223,92,472,1,sin,sin,sin
224,138,128,0.25,sin,sin,sin
225,89,427,52,sin,sin,sin
226,135,1266,90,sin,sin,sin
227,38,538,90,sin,sin,sin
228,117,247,3,sin,sin,sin
229,142,233,1.75,sin,sin,sin
230,38,7346,3.25,sin,sin,sin
231,35,14593,2.75,sin,sin,sin
232,110,1020,1,sin,sin,sin
233,139,343,32,sin,sin,sin
234,38,427,80.25,sin,sin,sin
235,121,7344,5,sin,sin,sin
236,47,40,3,sin,sin,sin
237,38,327,0,sin,sin,sin
238,9,1011,5,sin,sin,sin
239,137,11198,3.75,sin,sin,sin
240,96,545,48,sin,sin,sin
241,54,427,75,sin,sin,sin
242,122,733,1.5,sin,sin,sin
243,54,2993,3,sin,sin,sin
244,95,3025,80.25,sin,sin,sin
245,136,472,10,sin,sin,sin
246,45,14593,1,sin,sin,sin
247,149,109,5,sin,sin,sin
249,137,343,2,sin,sin,sin
250,121,37,48,sin,sin,sin
252,76,116,90,sin,sin,sin
253,81,7323,0.75,sin,sin,sin
254,54,124,5,sin,sin,sin
255,148,239,23.5,sin,sin,sin
256,124,327,5,sin,sin,sin
257,128,121,1.5,sin,sin,sin
258,64,623,3.5,sin,sin,sin
259,124,14593,0.25,sin,sin,sin
260,11,40,4.75,sin,sin,sin
261,108,16,0.25,sin,sin,sin
262,81,1887,4.75,sin,sin,sin
263,106,7599,48,sin,sin,sin
264,136,529,0,sin,sin,sin
265,107,732,75,sin,sin,sin
266,23,478,2,sin,sin,sin
267,108,15,1,sin,sin,sin
268,145,1020,5,sin,sin,sin
269,54,1331,0.25,sin,sin,sin
270,149,1985,4.75,sin,sin,sin
271,137,500,1.5,sin,sin,sin
272,108,20,,positivo,Es el guaripolo de los videojuegos,El problema es que este juego No puede ser mejor
273,99,43,10,sin,sin,sin
274,150,478,1.5,sin,sin,sin
275,78,1026,2,sin,sin,sin
276,45,38,16,sin,sin,sin
277,81,1970,1,sin,sin,sin
278,143,427,24,sin,sin,sin
279,125,358,3,sin,sin,sin
280,12,427,52,sin,sin,sin
281,88,71,90,sin,sin,sin
282,142,127,75,sin,sin,sin
283,125,427,90,sin,sin,sin
284,9,545,0.75,sin,sin,sin
285,45,1331,4,sin,sin,sin
286,135,132,1.75,sin,sin,sin
287,121,116,1.25,sin,sin,sin
288,27,7351,0.25,sin,sin,sin
289,35,7344,4.25,sin,sin,sin
290,125,1887,1.25,sin,sin,sin
291,142,979,4.75,sin,sin,sin
292,11,1802,5,sin,sin,sin
293,107,1011,0.75,sin,sin,sin
294,139,8173,4.25,sin,sin,sin
295,44,1384,8.5,sin,sin,sin
296,129,427,16,sin,sin,sin
297,12,1352,3.75,sin,sin,sin
298,112,72,2.5,sin,sin,sin
299,40,21,3.75,sin,sin,sin
300,11,622,1.5,sin,sin,sin
301,32,1887,0.75,sin,sin,sin
302,28,533,0,sin,sin,sin
303,123,7344,24,sin,sin,sin
304,118,730,4.75,sin,sin,sin
305,101,43,4.5,sin,sin,sin
306,94,239,37,sin,sin,sin
307,136,673,2.25,sin,sin,sin
308,96,733,4.5,sin,sin,sin
309,74,565,4,sin,sin,sin
310,94,1871,1.5,sin,sin,sin
311,124,673,4.5,sin,sin,sin
312,145,5503,47.5,sin,sin,sin
313,36,733,0,sin,sin,sin
314,47,7342,3.25,sin,sin,sin
315,47,559,48,sin,sin,sin
316,47,537,4,sin,sin,sin
317,94,11198,3.25,sin,sin,sin
318,54,549,18.5,sin,sin,sin
319,118,19560,1,sin,sin,sin
320,120,25076,4,sin,sin,sin
321,9,43,52,sin,sin,sin
322,116,529,3.75,sin,sin,sin
323,138,427,0,sin,sin,sin
324,84,7323,4.25,sin,sin,sin
325,92,512,1,sin,sin,sin
326,131,7342,75,sin,sin,sin
327,44,358,3,sin,sin,sin
328,80,2993,1.5,sin,sin,sin
329,143,1164,3.75,sin,sin,sin
330,80,11198,4.25,sin,sin,sin
331,22,75,2,sin,sin,sin
332,105,1331,1.75,sin,sin,sin
333,94,113,5,sin,sin,sin
334,47,74,1,sin,sin,sin
335,36,478,80.25,sin,sin,sin
336,93,1262,100,sin,sin,sin
337,89,231,2,sin,sin,sin
338,140,233,2.5,sin,sin,sin
339,100,1266,1.5,sin,sin,sin
340,113,121,4.25,sin,sin,sin
341,142,427,1,sin,sin,sin
342,98,7342,52,sin,sin,sin
343,96,124,3.5,sin,sin,sin
344,125,5503,4.5,sin,sin,sin
345,94,40,1.75,sin,sin,sin
346,64,979,1,sin,sin,sin
347,28,1942,5,sin,sin,sin
348,23,11198,16,sin,sin,sin
349,19,7346,5,sin,sin,sin
350,10,1266,0,sin,sin,sin
351,45,7344,4.5,sin,sin,sin
352,83,9730,27,sin,sin,sin
353,97,1352,0,sin,sin,sin
354,99,1985,4.5,sin,sin,sin
355,97,358,3,sin,sin,sin
356,69,1970,4.5,sin,sin,sin
357,101,472,0.5,sin,sin,sin
358,19,1871,10,sin,sin,sin
359,106,15,3,sin,sin,sin
360,134,233,80.25,sin,sin,sin
361,120,1121,0,sin,sin,sin
362,79,623,0,sin,sin,sin
363,93,549,11.5,sin,sin,sin
364,45,128,2.5,sin,sin,sin
365,102,113,75,sin,sin,sin
366,85,1802,0,sin,sin,sin
367,115,11208,,negativo,No entiendo por qué no regalan este juego,No logré comprender la idea del juego
368,79,1942,75,sin,sin,sin
369,102,732,1.25,sin,sin,sin
370,125,1026,32,sin,sin,sin
371,32,1352,1.5,sin,sin,sin
372,12,7331,1.5,sin,sin,sin
373,85,1942,1,sin,sin,sin
374,11,21,52,sin,sin,sin
375,107,18,,negativo,Parace una broma que existe un juego como este,Más malo que la pizza helada
376,64,1942,4.5,sin,sin,sin
377,127,12517,1,sin,sin,sin
378,141,116,1.5,sin,sin,sin
379,45,732,0,sin,sin,sin
380,64,1068,,positivo,Pero que ofertón,A mi hijo le encanta
381,97,478,4,sin,sin,sin
382,74,25076,4.25,sin,sin,sin
383,111,501,5,sin,sin,sin
384,121,1020,48,sin,sin,sin
385,45,73,2.25,sin,sin,sin
386,46,6036,15.5,sin,sin,sin
387,101,478,2,sin,sin,sin
388,144,25076,2.25,sin,sin,sin
389,83,732,0,sin,sin,sin
390,115,1970,2.25,sin,sin,sin
391,87,343,5,sin,sin,sin
392,148,7599,1,sin,sin,sin
393,98,431,75,sin,sin,sin
394,120,7344,2.25,sin,sin,sin
395,105,1074,33.5,sin,sin,sin
396,78,1871,52,sin,sin,sin
397,28,21,52,sin,sin,sin
398,105,1011,0.5,sin,sin,sin
399,54,239,,positivo,El mejor Juego del Mundo,Interesante
400,74,1352,1,sin,sin,sin
401,45,1262,24,sin,sin,sin
402,54,512,1.25,sin,sin,sin
403,74,1331,90,sin,sin,sin
404,101,1942,4.25,sin,sin,sin
405,139,498,21.5,sin,sin,sin
406,99,76,0.5,sin,sin,sin
407,128,11208,46.5,sin,sin,sin
408,77,343,80.25,sin,sin,sin
409,121,500,2.25,sin,sin,sin
410,136,1871,2.25,sin,sin,sin
411,44,1352,0,sin,sin,sin
412,46,551,3,sin,sin,sin
413,116,1985,1,sin,sin,sin
414,112,1802,24,sin,sin,sin
415,74,73,60,sin,sin,sin
416,35,358,32,sin,sin,sin
417,105,16,3.5,sin,sin,sin
418,12,1331,1,sin,sin,sin
419,121,230,42.5,sin,sin,sin
420,102,1009,100,sin,sin,sin
421,104,1029,0,sin,sin,sin
422,106,478,3.25,sin,sin,sin
423,112,1068,5,sin,sin,sin
424,116,1070,29,sin,sin,sin
425,102,1029,4.25,sin,sin,sin
426,116,434,4,sin,sin,sin
427,102,121,1.25,sin,sin,sin
428,132,733,4.75,sin,sin,sin
429,107,7346,4.5,sin,sin,sin
430,79,15,4.5,sin,sin,sin
431,9,132,24,sin,sin,sin
432,80,74,,negativo,Y pensar que me perdí la boda de mi hija por este juego,Perder mi tiempo en este juego fue la peor idea que he tenido en estos últimos días
433,36,1384,45.5,sin,sin,sin
434,79,74,20.5,sin,sin,sin
435,111,8173,4.5,sin,sin,sin
436,76,25076,80.25,sin,sin,sin
437,9,1266,100,sin,sin,sin
438,27,537,75,sin,sin,sin
439,69,1331,4.5,sin,sin,sin
440,35,1262,10,sin,sin,sin
441,134,25076,2.25,sin,sin,sin
442,84,1262,3,sin,sin,sin
443,145,8173,0,sin,sin,sin
444,136,343,75,sin,sin,sin
445,133,230,43.5,sin,sin,sin
446,101,7599,80.25,sin,sin,sin
447,123,493,42,sin,sin,sin
448,82,72,32,sin,sin,sin
449,93,673,1.5,sin,sin,sin
450,79,3025,10,sin,sin,sin
451,82,537,4.25,sin,sin,sin
452,116,2993,4.25,sin,sin,sin
453,115,233,1.25,sin,sin,sin
454,127,247,2.25,sin,sin,sin
455,108,109,2.75,sin,sin,sin
456,123,1068,31,sin,sin,sin
457,101,7346,10,sin,sin,sin
458,82,529,0.5,sin,sin,sin
459,126,7342,5,sin,sin,sin
460,94,73,2,sin,sin,sin
461,113,75,5,sin,sin,sin
462,148,239,,positivo,Más bueno que el pan con chancho,Horas de diversión para amigos y familia
463,93,979,3,sin,sin,sin
464,84,73,2.75,sin,sin,sin
465,108,1887,0,sin,sin,sin
466,77,1372,4.75,sin,sin,sin
467,35,18,5,sin,sin,sin
468,140,26758,3,sin,sin,sin
469,9,358,0.25,sin,sin,sin
470,111,6036,14,sin,sin,sin
471,111,12517,2,sin,sin,sin
472,47,1020,90,sin,sin,sin
473,115,11198,4.5,sin,sin,sin
474,111,16,1.75,sin,sin,sin
475,147,538,0,sin,sin,sin
476,127,501,1.75,sin,sin,sin
477,100,233,60,sin,sin,sin
478,116,1871,1.25,sin,sin,sin
479,101,1029,0.5,sin,sin,sin
480,88,113,3.5,sin,sin,sin
481,108,1266,1,sin,sin,sin
482,123,537,16,sin,sin,sin
483,150,37,4.25,sin,sin,sin
484,127,622,1,sin,sin,sin
485,147,25076,80.25,sin,sin,sin
486,30,1164,2,sin,sin,sin
487,74,730,80.25,sin,sin,sin
488,110,39,4,sin,sin,sin
489,123,623,0.5,sin,sin,sin
490,44,7351,3.25,sin,sin,sin
491,103,6801,0.25,sin,sin,sin
492,35,12517,3.5,sin,sin,sin
493,9,7346,0.5,sin,sin,sin
494,98,1985,24,sin,sin,sin
495,131,358,2.25,sin,sin,sin
496,138,1011,75,sin,sin,sin
497,36,38,1.5,sin,sin,sin
498,12,1262,5,sin,sin,sin
499,125,18,2,sin,sin,sin
500,134,73,1,sin,sin,sin
501,148,19560,4.25,sin,sin,sin
502,10,8173,2.75,sin,sin,sin
503,150,7342,48,sin,sin,sin
504,107,72,16,sin,sin,sin
505,138,7342,24,sin,sin,sin
506,82,3025,3,sin,sin,sin
507,87,14593,90,sin,sin,sin
508,147,730,80.25,sin,sin,sin
509,117,1942,60,sin,sin,sin
510,143,7342,4.25,sin,sin,sin
511,142,9630,4,sin,sin,sin
512,136,233,4.25,sin,sin,sin
513,28,75,0,sin,sin,sin
514,86,1985,80.25,sin,sin,sin
515,145,866,100,sin,sin,sin
516,88,730,2.75,sin,sin,sin
517,44,7344,3.25,sin,sin,sin
518,28,733,0.25,sin,sin,sin
519,142,1262,75,sin,sin,sin
520,79,730,32,sin,sin,sin
521,79,73,0.5,sin,sin,sin
522,109,124,10,sin,sin,sin
523,141,1266,1.75,sin,sin,sin
524,28,14593,3.5,sin,sin,sin
525,101,1266,3.25,sin,sin,sin
526,99,537,16,sin,sin,sin
527,136,7342,1.25,sin,sin,sin
528,88,1985,52,sin,sin,sin
529,124,537,24,sin,sin,sin
530,144,11198,75,sin,sin,sin
531,11,427,2.75,sin,sin,sin
532,88,379,1.5,sin,sin,sin
533,103,1887,1.25,sin,sin,sin
534,138,478,3.75,sin,sin,sin
535,142,1331,10,sin,sin,sin
536,103,7599,10,sin,sin,sin
537,111,6036,,positivo,Nisiquiera la mejor de las odas podría describir este juego,El problema es que este juego No puede ser mejor
538,9,124,4,sin,sin,sin
539,91,2031,,negativo,Peor juego,No logré comprender la idea del juego
540,87,501,2.75,sin,sin,sin
541,122,116,4.75,sin,sin,sin
542,140,343,60,sin,sin,sin
543,130,1262,80.25,sin,sin,sin
544,11,71,2.25,sin,sin,sin
545,19,1331,2,sin,sin,sin
546,105,25076,24,sin,sin,sin
547,46,730,48,sin,sin,sin
548,146,1070,,negativo,Peor juego,La dificultad es terriblemente alta
549,107,17000,,negativo,tiempo y dinero tirados a la basura,Terriblemente malo
550,76,427,10,sin,sin,sin
551,127,26758,13,sin,sin,sin
552,129,731,36,sin,sin,sin
553,95,501,1.5,sin,sin,sin
554,105,75,1.5,sin,sin,sin
555,148,12517,48,sin,sin,sin
556,131,1942,5,sin,sin,sin
557,35,1331,0.75,sin,sin,sin
558,64,472,1.75,sin,sin,sin
559,22,9730,,positivo,El mejor Juego del Mundo,Ahhhh... un manjarsh
560,32,529,0.75,sin,sin,sin
561,79,1262,1,sin,sin,sin
562,79,1011,0,sin,sin,sin
563,54,75,2.75,sin,sin,sin
564,146,478,60,sin,sin,sin
567,115,1331,1.25,sin,sin,sin
568,79,733,1.5,sin,sin,sin
569,150,124,0.75,sin,sin,sin
570,82,1262,3,sin,sin,sin
571,100,38,3.75,sin,sin,sin
572,97,1887,48,sin,sin,sin
573,40,26758,6,sin,sin,sin
574,100,427,2.75,sin,sin,sin
575,121,7342,0,sin,sin,sin
576,45,8173,3.75,sin,sin,sin
577,80,1262,3,sin,sin,sin
578,103,545,24,sin,sin,sin
579,46,1887,1.75,sin,sin,sin
580,11,1020,52,sin,sin,sin
581,99,5503,,positivo,Fantabuloso,No entiendo el motivo por el cual no han sacado una nueva entrega aún
582,47,233,60,sin,sin,sin
583,32,1020,32,sin,sin,sin
584,102,1802,24,sin,sin,sin
585,83,124,24,sin,sin,sin
586,47,1942,16,sin,sin,sin
587,135,73,1,sin,sin,sin
588,84,40,10,sin,sin,sin
589,11,2155,1.25,sin,sin,sin
590,76,673,5,sin,sin,sin
591,147,537,75,sin,sin,sin
592,139,673,0,sin,sin,sin
593,105,2993,80.25,sin,sin,sin
594,136,7599,4.25,sin,sin,sin
595,80,12517,4.25,sin,sin,sin
596,92,127,4.75,sin,sin,sin
597,13,493,0.5,sin,sin,sin
598,77,529,1,sin,sin,sin
599,85,7346,4.25,sin,sin,sin
600,19,,,sin,sin,sin
601,129,76,36.5,sin,sin,sin
602,88,37,2,sin,sin,sin
603,123,2031,43.5,sin,sin,sin
604,136,1011,3.75,sin,sin,sin
605,76,16,2.5,sin,sin,sin
606,64,40,1.5,sin,sin,sin
607,97,71,24,sin,sin,sin
608,116,979,75,sin,sin,sin
609,110,501,32,sin,sin,sin
610,111,127,24,sin,sin,sin
611,74,733,5,sin,sin,sin
612,54,7346,75,sin,sin,sin
613,125,1070,,negativo,tiempo y dinero tirados a la basura,Peor que mis laboratorios con margen de error del 1000%
614,45,12517,0.75,sin,sin,sin
616,74,478,0,sin,sin,sin
617,45,72,4,sin,sin,sin
618,36,375,12.5,sin,sin,sin
619,95,732,52,sin,sin,sin
620,122,529,16,sin,sin,sin
621,142,358,24,sin,sin,sin
622,135,1970,48,sin,sin,sin
623,64,59,1.75,sin,sin,sin
624,84,,,sin,sin,sin
625,112,537,3,sin,sin,sin
626,45,7323,52,sin,sin,sin
627,88,14593,52,sin,sin,sin
628,35,1985,0,sin,sin,sin
629,10,379,80.25,sin,sin,sin
630,118,498,35,sin,sin,sin
631,134,39,75,sin,sin,sin
632,117,7344,1,sin,sin,sin
633,129,1887,1.5,sin,sin,sin
634,109,76,21.5,sin,sin,sin
635,44,1802,0.5,sin,sin,sin
636,47,960,1.5,sin,sin,sin
637,116,7342,4.75,sin,sin,sin
638,136,478,3.25,sin,sin,sin
639,11,11198,0,sin,sin,sin
640,97,375,,negativo,Si tuviera que decidir entre un pato y un conejo este juego sería un conejo,Cómo arruinar tu vida en 1 simple paso: compra este juego
641,150,472,1,sin,sin,sin
642,28,16,52,sin,sin,sin
643,40,1871,10,sin,sin,sin
644,116,731,,negativo,Em... tenía final el juego?,Peor que mis laboratorios con margen de error del 1000%
645,103,7342,2.25,sin,sin,sin
646,131,21,2.75,sin,sin,sin
647,136,493,12,sin,sin,sin
648,64,17000,41.5,sin,sin,sin
649,124,358,80.25,sin,sin,sin
650,126,14593,1,sin,sin,sin
651,136,1331,5,sin,sin,sin
652,78,7342,1.75,sin,sin,sin
654,150,1026,48,sin,sin,sin
655,134,434,4.25,sin,sin,sin
656,122,9630,15.5,sin,sin,sin
657,116,20,12.5,sin,sin,sin
658,121,1942,0,sin,sin,sin
659,93,26758,22,sin,sin,sin
660,98,127,5,sin,sin,sin
661,113,,,sin,sin,sin
662,141,16,52,sin,sin,sin
663,148,673,0,sin,sin,sin
664,150,537,2.75,sin,sin,sin
665,28,7344,3.25,sin,sin,sin
666,12,673,90,sin,sin,sin
667,23,7342,52,sin,sin,sin
668,38,1026,32,sin,sin,sin
669,95,73,24,sin,sin,sin
670,101,7344,1,sin,sin,sin
671,146,1070,34.5,sin,sin,sin
672,140,501,10,sin,sin,sin
673,111,37,3,sin,sin,sin
674,112,498,45.5,sin,sin,sin
675,13,529,1,sin,sin,sin
676,78,1331,16,sin,sin,sin
677,10,74,22.5,sin,sin,sin
678,107,545,2.25,sin,sin,sin
679,141,551,1.5,sin,sin,sin
680,108,1331,52,sin,sin,sin
681,115,478,2.5,sin,sin,sin
682,94,1970,1.25,sin,sin,sin
683,23,25076,4.25,sin,sin,sin
684,150,1331,3.5,sin,sin,sin
685,93,1802,2.25,sin,sin,sin
686,99,1164,4.25,sin,sin,sin
687,32,7323,2.25,sin,sin,sin
688,84,1331,0.5,sin,sin,sin
689,30,427,32,sin,sin,sin
690,9,16,1.5,sin,sin,sin
691,126,529,1.75,sin,sin,sin
692,118,1029,2.5,sin,sin,sin
693,146,730,0.25,sin,sin,sin
694,107,18,10.5,sin,sin,sin
695,129,7334,36.5,sin,sin,sin
696,120,731,6,sin,sin,sin
697,150,231,2.5,sin,sin,sin
698,80,1266,1.5,sin,sin,sin
699,107,74,45,sin,sin,sin
700,79,16,0,sin,sin,sin
702,106,974,16,sin,sin,sin
703,146,5503,14.5,sin,sin,sin
704,38,59,2.25,sin,sin,sin
705,131,231,16,sin,sin,sin
706,40,1070,17.5,sin,sin,sin
707,110,1331,2.25,sin,sin,sin
708,10,537,75,sin,sin,sin
709,38,1942,4,sin,sin,sin
710,146,1026,3.75,sin,sin,sin
711,124,25076,3.25,sin,sin,sin
712,12,7342,60,sin,sin,sin
714,96,16,1.25,sin,sin,sin
715,12,116,0.25,sin,sin,sin
716,146,2155,4.5,sin,sin,sin
717,88,500,100,sin,sin,sin
718,86,960,1.25,sin,sin,sin
719,146,12517,3.75,sin,sin,sin
720,45,1970,32,sin,sin,sin
721,117,8173,0,sin,sin,sin
722,147,1011,2,sin,sin,sin
723,99,1011,16,sin,sin,sin
724,123,533,4,sin,sin,sin
725,95,231,4.5,sin,sin,sin
726,123,529,24,sin,sin,sin
727,112,14593,3.5,sin,sin,sin
728,69,733,1,sin,sin,sin
729,120,1871,2,sin,sin,sin
731,136,,,sin,sin,sin
732,106,1352,1,sin,sin,sin
733,9,128,3.75,sin,sin,sin
734,150,73,16,sin,sin,sin
735,78,1802,4.5,sin,sin,sin
736,69,25076,1,sin,sin,sin
737,129,230,39.5,sin,sin,sin
738,137,12517,32,sin,sin,sin
739,127,358,3.5,sin,sin,sin
740,117,1029,2.25,sin,sin,sin
