ID_subscripcion,Estado,Fecha_inicio,ID_usuario,Fecha_termino,ID_videojuego,Mensualidad
194,active,2021-11-12,121,2999-12-31,1074,8500
89,active,2021-08-28,40,2999-12-31,498,5000
105,canceled,2020-05-23,93,2020-09-08,549,4000
347,active,2021-12-11,129,2999-12-31,76,9500
6,active,2021-07-11,22,2999-12-31,1384,6500
183,active,2021-05-05,47,2999-12-31,375,9500
201,active,2020-06-10,28,2999-12-31,20,8000
245,canceled,2021-08-13,91,2021-09-19,2031,5000
49,active,2020-10-28,146,2999-12-31,375,9500
130,canceled,2021-03-17,110,2021-09-03,493,8000
202,active,2021-03-27,28,2999-12-31,493,8000
279,active,2021-03-03,139,2999-12-31,20,8000
165,canceled,2021-08-30,64,2021-10-03,17000,5500
164,active,2020-12-18,124,2999-12-31,731,9500
232,active,2020-11-15,35,2999-12-31,18,5000
145,active,2021-09-02,120,2999-12-31,26758,7000
357,canceled,2021-10-31,135,2021-11-05,1068,6500
60,active,2020-07-09,125,2999-12-31,18,5000
163,canceled,2021-04-12,124,2021-07-17,2031,5000
90,canceled,2021-04-26,40,2021-10-07,549,4000
63,active,2021-02-19,125,2999-12-31,9730,6500
142,active,2020-12-07,126,2999-12-31,1074,8500
156,active,2020-09-18,27,2999-12-31,9730,6500
34,active,2021-04-01,116,2999-12-31,731,9500
337,active,2021-03-14,129,2999-12-31,2031,5000
136,active,2021-02-15,74,2999-12-31,17000,5500
84,active,2021-05-09,137,2999-12-31,2031,5000
203,active,2021-07-04,28,2999-12-31,1074,8500
91,active,2020-11-17,40,2999-12-31,230,7500
322,active,2021-10-24,138,2999-12-31,498,5000
108,active,2020-10-30,143,2999-12-31,5503,5000
261,active,2021-11-09,134,2999-12-31,7334,4500
190,active,2020-07-05,111,2999-12-31,11208,3000
115,canceled,2020-08-19,79,2021-05-15,126,6500
46,active,2021-01-24,146,2999-12-31,74,4000
240,active,2021-09-01,136,2999-12-31,26758,7000
79,active,2021-12-14,89,2999-12-31,1068,6500
344,active,2021-10-06,129,2999-12-31,549,4000
267,active,2021-05-07,134,2999-12-31,731,9500
65,active,2021-06-27,125,2999-12-31,2031,5000
31,active,2020-11-27,108,2999-12-31,20,8000
102,canceled,2020-09-19,112,2020-11-22,498,5000
45,active,2021-02-02,101,2999-12-31,9730,6500
64,active,2021-07-18,125,2999-12-31,26758,7000
269,active,2021-10-16,131,2999-12-31,375,9500
288,active,2020-08-16,80,2999-12-31,76,9500
308,active,2020-07-28,144,2999-12-31,1070,5500
197,active,2020-11-02,82,2999-12-31,549,4000
103,canceled,2021-10-23,112,2021-12-06,9630,5000
129,active,2020-07-20,110,2999-12-31,375,9500
294,active,2021-06-28,119,2999-12-31,2031,5000
47,active,2020-08-16,146,2999-12-31,76,9500
273,active,2021-06-23,131,2999-12-31,1068,6500
213,active,2020-07-06,123,2999-12-31,11208,3000
230,canceled,2021-08-02,13,2021-11-23,493,8000
86,active,2021-06-21,40,2999-12-31,9730,6500
235,active,2020-06-19,35,2999-12-31,9630,5000
328,canceled,2020-05-25,78,2020-08-01,9630,5000
217,active,2021-12-21,123,2999-12-31,76,9500
7,active,2020-09-28,22,2999-12-31,9730,6500
312,active,2021-03-10,46,2999-12-31,9630,5000
286,active,2021-03-14,80,2999-12-31,74,4000
236,active,2020-05-18,84,2999-12-31,9730,6500
76,active,2021-09-26,89,2999-12-31,5503,5000
249,active,2021-11-25,38,2999-12-31,731,9500
8,active,2020-05-08,22,2999-12-31,2031,5000
250,active,2020-08-26,38,2999-12-31,74,4000
196,canceled,2021-04-17,121,2021-12-17,76,9500
32,active,2021-11-10,108,2999-12-31,239,5000
185,active,2021-10-03,128,2999-12-31,9730,6500
80,active,2020-09-24,96,2999-12-31,5503,5000
352,active,2020-08-20,130,2999-12-31,2031,5000
85,active,2021-03-21,40,2999-12-31,26758,7000
10,active,2020-08-09,145,2999-12-31,5503,5000
365,active,2021-09-19,76,2999-12-31,9630,5000
204,active,2021-07-20,28,2999-12-31,7334,4500
319,active,2021-06-18,98,2999-12-31,1384,6500
186,active,2020-07-17,128,2999-12-31,7334,4500
248,canceled,2021-03-30,38,2021-04-21,9630,5000
284,active,2021-05-31,80,2999-12-31,20,8000
158,active,2020-05-21,133,2999-12-31,9730,6500
152,active,2021-11-18,142,2999-12-31,1074,8500
341,canceled,2021-07-06,129,2021-11-28,26758,7000
325,active,2020-07-24,113,2999-12-31,126,6500
332,canceled,2021-10-31,129,2021-11-30,18,5000
335,canceled,2020-06-17,129,2020-07-31,731,9500
171,active,2021-03-11,150,2999-12-31,6036,3500
207,active,2020-07-27,85,2999-12-31,11208,3000
151,active,2021-07-28,106,2999-12-31,1384,6500
188,active,2020-12-01,111,2999-12-31,1070,5500
41,active,2021-02-10,107,2999-12-31,1070,5500
38,canceled,2021-04-25,107,2021-08-18,17000,5500
306,active,2020-08-26,144,2999-12-31,549,4000
134,active,2021-04-02,11,2999-12-31,239,5000
18,active,2020-12-09,122,2999-12-31,9630,5000
114,canceled,2020-06-18,79,2021-11-03,74,4000
318,active,2021-01-13,98,2999-12-31,498,5000
36,canceled,2020-11-28,116,2021-10-29,1070,5500
238,canceled,2021-09-24,136,2021-12-19,230,7500
220,active,2021-10-17,118,2999-12-31,1074,8500
293,active,2020-10-25,10,2999-12-31,5503,5000
98,active,2020-07-08,54,2999-12-31,239,5000
43,canceled,2021-09-23,107,2021-10-20,731,9500
195,active,2020-08-05,121,2999-12-31,230,7500
200,active,2020-11-07,83,2999-12-31,731,9500
191,active,2021-07-06,111,2999-12-31,1384,6500
110,active,2021-04-30,143,2999-12-31,1074,8500
315,active,2021-11-17,44,2999-12-31,1070,5500
44,canceled,2021-12-16,107,2021-12-19,1384,6500
281,active,2021-04-01,139,2999-12-31,7334,4500
95,active,2021-08-07,54,2999-12-31,20,8000
3,active,2021-01-31,102,2999-12-31,2031,5000
268,active,2020-10-31,134,2999-12-31,76,9500
246,active,2021-10-20,91,2999-12-31,6036,3500
265,active,2021-07-10,134,2999-12-31,230,7500
362,active,2021-04-18,94,2999-12-31,9630,5000
239,active,2021-02-18,136,2999-12-31,126,6500
287,canceled,2021-07-31,80,2021-12-12,26758,7000
192,active,2021-07-25,87,2999-12-31,1068,6500
104,active,2021-05-20,93,2999-12-31,17000,5500
71,active,2021-08-31,77,2999-12-31,9730,6500
5,active,2021-10-07,102,2999-12-31,7334,4500
303,canceled,2021-06-25,45,2021-10-14,7334,4500
125,active,2020-05-31,23,2999-12-31,6036,3500
227,active,2020-11-04,149,2999-12-31,11208,3000
153,canceled,2020-11-19,142,2021-04-26,9630,5000
48,canceled,2020-10-31,146,2021-09-22,5503,5000
124,active,2020-11-08,23,2999-12-31,375,9500
150,active,2020-07-16,106,2999-12-31,493,8000
314,active,2021-06-09,44,2999-12-31,126,6500
